медбур	best
отделение	section
отделение	ward
отпуск	leave
отпуск	holiday
отрад	detachment
отрасль	field
отрасль	sector
отсасьысь	helper
отсасьысь	assistant
отсӧг	help
отсӧг	assistance
отчётносьт	bookkeeping
отчётносьт	accounts
офицер	officer
ош	bear
пабрик	factory
падеж	case
падъялӧм	hesitation
падӧс	column
падӧс	post
падӧс	pole
пажын	lunch
пай	part
пакет	packet
пакӧсьт	harm
палата	bureau
палатка	tent
палича	club
палича	cudgel
паметь	memory
памятник	memorial
панан	warp
панас	base
паника	panic
пань	spoon
пап	father
пар	lips
парад	parade
паракод	steamship
параллель	latitude
параллель	parallel
парашют	parachute
парк	park
парламент	parliament
пародия	parody
паром	ferry
партизан	guerilla
партия	party
партук	apron
партук	pinafore
парус	sail
пас	sign
пасйӧд	remark
пасйӧд	observation
пасон	fashion
пасон	style
паспорт	passport
пассажир	passenger
пассив	passive
пастор	badge
пастук	herder
пасъянтор	marker
пасъянтор	notation
пась	fur
пась	garment
пасьта	width
пасьтасьӧм	dressing
патера	apartment
пач	oven
пев	thumb
пегыр	pinch
пегыр	nip
пегыр	tweak
пелыс	paddle
пелысь	rowan
пелыськай	fieldfare
пель	ear
пелькытш	earring
пельпом	shoulder
пельса	barrel
пельса	tub
пельӧс	corner
пельӧс	area
пемӧс	animal
пенсионер	pensioner
пенсия	age)
пепкай	hawfinch
передача	broadcast
перестройка	perestroika
перма	farm
перӧ	feather
пес	firewood
петанін	exit
петас	issue
петук	rooster
печенньӧ	cookie
пеша	cresset
пи	son
пи	young
пи	youngster
пи	calf
пи	cub
пи	kit
пи	kitten
пи	pup
пидзӧс	knee
пик	impasse
пик	deadlock
пил	cloud
пила	saw
пилот	pilot
пими	pimy
пинь	argument
пинь	tooth
пинь	tine
пинь	prong
пинькай	chaffinch
пинькай	brambling
пиньтуй	bit
пиня	harrow
пионер	pioneer
пипу	aspen
писар	scribe
писти	pock
пистолет	pistol
питон	python
питор	son
питшӧг	bosom
пишшаль	rifle
плаж	beach
плака	block
план	plan
платтьӧ	dress
платтьӧ	garment
плеть	whip
плеш	forehead
плита	stove
плита	cooker
пломба	filling
плюрализм	pluralism
плӧщадь	square
плӧщадь	plaza
победа	victory
поводдя	weather
повсьӧм	fright
повсьӧм	fear
повтӧмлун	fearlessness
погранвойска	coastguard
пода	pedestrian
пода	cattle
подданнӧй	subject
подданнӧй	national
подлежащӧй	subject
подписка	subscription
подув	foundation
подув	base
подув	grounds
подув	basis
подулалӧм	justification
подъезд	entrance
поезд	train
пож	sift
пожӧм	pinetree
поз	nest
поз	home
позьтӧмлун	impossibility
поколение	generation
полигон	range
поликлиника	polyclinic
политика	politics
политика	policy
полковник	colonel
полномочие	authority
полномочие	power
положение	situation
польӧ	pig
польӧпи	piglet
полӧга	fright
пом	end
помеч	help
помеч	workbee
помидор	tomato
помка	cause
помка	reason
помка	argument
помшуӧм	verdict
помшуӧм	resolution
пон	dog
пон	dog
понпи	puppy
понпи	whelp
понсэтӧр	(Heckenkirsche)
понсэтӧр	crowberry
поп	priest
попечитель	guardian
попечитель	trustee
порог	threshhold
пором	jam
пором	obstruction
порсь	pig
порськуз	(Haarstrang)
порсьпи	piglet
пос	stairs
пос	bridge
посводз	(entrance)hall
посводз	vestibule
пособие	benefits
посол	ambassador
постановление	decision
постановление	resolution
посёлок	village
посёлок	community
посёлок	settlement
потребитель	consumer
почтальон	mailman
почтальон	postman
поэма	poem
поэт	poet
права	licence
правилӧ	regulation
правительство	government
правление	management
право	right
православие	Orthodoxy
праздник	holiday
празьник	holiday
практика	practice
прать	strand
предание	legend
предание	tradition
предикат	predicate
предмет	object
предприниматель	enterpreneur
предприниматель	businessman
предприятие	enterprise
председатель	chairman
председатель	chair
президент	president
преник	gingerbread
препарат	preparation
престиж	prestige
преступник	criminal
прибыль	profit
приговор	verdict
приговор	sentence
приз	prize
пример	example
принц	prince
принцесса	princess
принцип	principle
приют	orphanage
провод	wire
программа	program
продукция	production
продюсер	producer
проект	project
прозаик	prosaist
производство	production
промышленносьт	industry
проповедь	sermon
профессор	professor
профилакторий	dispensary
процент	percent
прӧдукция	production
прӧм	catch
прӧм	quarrying
прӧмысловик	hunter
прӧмысловик	miner
прӧчент	percent
псеудоним	pseudonym
пу	tree
публицист	publicist
пув	lingonberry
пув	cowberry
пуд	pood
пузьӧдӧм	welding
пукан	seat
пуктас	regulations
пуктас	rules
пульс	pulse
пуни	muscle
пуни	sinew
пункт	paragraph
пункт	item
пунт	pound
пупайка	jacket
пурт	knife
пурысь	street
пусьысь	cook
путёвка	fee
пушйӧд	verdure
пушка	cannon
пушкан	bellows
пывсян	sauna
пыдна	depth
пыдӧс	bottom
пыж	boat
пыж	pontoon
пыжъян	awl
пызан	table
пызь	flour
пыкӧс	swelling
пыртсим	moustache
пырысь	member
пысйӧг	slide
пыстор	button
пытш	flea
пытш	aphis
пытш	(aphid)
пытшкӧс	interior
пытшкӧс	internal
пытшкӧс	content
пытшпи	feotus
пыш	hemp
пьеса	play
пӧв	board
пӧв	half
пӧв	time
пӧдвал	basement
пӧдтӧм	suppression
пӧдушка	pillow
пӧдӧм	asthma
пӧдӧм	asphyxia
пӧжар	fire
пӧжас	confectionery
пӧк	roe
пӧк	calf
пӧльза	use
пӧльза	benefit
пӧльза	good
пӧлян	whistle
пӧра	time
пӧрадок	order
пӧрт	cauldron
пӧрт	kettle
пӧрт	boiler
пӧрӧс	epidemic
пӧсылка	parcel
пӧтӧлӧк	ceiling
рабочӧй	worker
рад	row
радио	radio
радиовещание	broadcasting
радлун	happiness
разведчик	scout
разрука	ruin
разрука	collapse
рай	paradise
район	raion
район	district
район	region
рак	cancer
рака	crow
ракакуз	(Sumpfschachtelhalm)
ракета	rocket
ракноп	rucksack
ракноп	knapsack
раковина	sink
рама	frame
рамлун	submissiveness
рамлун	humbleness
рапорт	report
раск	grove
ревматизм	reumatism
революция	revolution
регион	region
редактор	editor
резина	rubber
резьба	carving
рейд	raid
реклама	advertisement
ремонт	renovation
рептилия	reptile
республика	republic
рефинансирование	refinancing
рефлексив	reflexive
реформа	reform
риз	tuft
риз	rag
рис	rice
риторика	rhetoric
робот	robot
рожа	face
розь	hole
рок	porridge
рокӧс	yeast
роман	novel
роск	broom
рота	company
роч	Russian
ртуть	mercury
ру	fog
рубрика	heading
рубрика	column
рудзӧг	rye
рудӧб	outline
ружйӧ	rifle
рузум	fabric
руч	fox
рушку	stomach
рынок	market
рысь	lynx
рысь	cheese
рыт	evening
рытыввыв	west
рӧд	lineage
рӧдвуж	relative
рӧдвуж	relative
рӧдвыв	tribal
рӧдмӧм	multiplying
рӧдмӧм	increasing
рӧзӧритӧм	raid
рӧк	lot
рӧк	fate
рӧм	color
рӧм	nuance
рӧмидз	cud
рӧмпӧштан	mirror
рӧскод	expenses
рӧскод	expenditure
рӧсписка	painting
рӧсписка	receipt
рӧштво	Christmas
рӧштшӧт	account
са	soot
сабля	hayrick
сабля	haystack
сава	ink
садьмӧм	awoken
сакар	sugar
салдат	soldier
сам	bait
самодержавие	autocracy
самолёт	airplane
самӧвар	samovar
сан	wolverine
санаторий	sanatorium
сапӧг	boot
сар	Czar
сар	Tsar
сар	sea
сарай	hayloft
сарай	haymow
сарапан	sarafan
саридз	sea
саридз	ocean
саридз	seashore
саридз	coast
сборник	collection
свадьба	wedding
связь	contact
седун	cripple
седун	cripple
секретар	secretary
секс	sex
секунда	second
семинар	seminar
семъя	family
сентябр	September
сепыс	bag
сепыс	sack
сер	design
сер	track
сераку	letter
сераку	note
серам	laughter
серам	mockery
серам	ridicule
сермӧд	bridle
серпас	drawing
серпас	portrait
серпас	picture
серпасалысь	artist
серпасасьысь	artist
серпасысь	feature
сессия	session
сетӧмтор	gift
сетӧмтор	present
си	hair
сизь	woodpecker
сикас	type
сикас	kind
сикас	sort
сикт	village
сикӧтш	necklace
сикӧтш	beads
силос	silo
силос	silage
симпатия	liking
син	eye
синбӧж	glance
синва	tear
синкым	eyebrows
синлыс	eyelashes
синтаксис	syntax
сир	pitch
сирень	lilac
система	syst
сись	candle
сись	wax
ситеч	chintz
сифилис	syphilis
сиӧм	wish
скаут	scout
сквореч	starling
склад	stock
склад	store
склеп	crypt
скод	gathering
скод	assembly
скорӧй	ambulance
скӧпун	osprey
скӧт	cattle
славяна	Slavic
следователь	investigator
слесар	locksmith
слог	syllable
служба	service
слӧн	elephant
слӧт	sleet
смек	laughter
смена	shift
снимок	photo
снимок	picture
собрание	meeting
собственносьт	property
сов	salt
совещание	conference
совещание	meeting
совхоз	sovkhoz
соглашение	agreement
содтӧд	increase
содтӧд	addition
содтӧд	extra
сой	arm
сой	sleeve
сой	arm
сойпоск	bracelet
сомалиец	Somali
сора	mixture
сорас	compound
сорт	sort
сос	sleeves
сос	shirt
сос	blouse
сосед	neighbor
сотка	are
социолог	sociologist
соч	sister
спектакль	performance
специалист	specialist
специальносьт	specialty
спонсор	sponsor
спортсмен	sportsman
справка	certificate
средство	medium
средствояс	means
сруб	frame
сруб	framework
ссуда	loan
ставка	rate
стада	herd
стадион	stadium
стандарт	standard
станок	loom
старӧста	(village
статистика	statistics
статус	status
стать	posture
статья	article
стеклӧ	glass
стела	monument
стеллаж	shelves
стен	wall
степ	steppe
степень	degree
степь	steppe
стипендия	scholarship
стипендия	stipend
столб	post
столб	pole
столб	column
столӧвӧй	canteen
страна	state
страна	country
струб	structure
струж	plane
стрӧйба	structure
стрӧйба	construction
стрӧйба	building
стрӧйба	edifice
студент	student
студия	studio
студия	workshop
стӧкан	glass
субсидия	subsidy
субсидия	grant
субъект	subject
сувтланін	stop
сугӧн	onion
суд	court
судзсьытӧмлун	need
судзсьытӧмлун	want
судта	floor
судта	storey
сукар	rusk
сукар	zweiback
сулея	bottle
сунач	pochard
сунис	thread
сур	beer
суса	shuttle
сусед	neighbor
сутш	moment
суффикс	suffix
съезд	convention
съезд	congress
сыв	fathom
сыв	fat
сын	ide
сынан	comb
сынан	comb
сынан	fin
сынӧд	air
сыр	cheese
сыр	frill
сыр	trimming
сыр	fringe
сыр	flounces
сыр	ruffles
сырьё	ore
сьпектак	spectacle
сьылан	song
сьыланкыв	song
сьылысь	singer
сьылі	neck
сьылі	throat
сьылідзир	neck
сьӧвмӧс	heart
сьӧвмӧс	core
сьӧдбӧж	ermine
сьӧдкай	starling
сьӧдчӧж	(Reiherente)
сьӧдъюр	blackcap
сьӧкта	weight
сьӧкыдтор	difficulty
сьӧла	hazelhen
сьӧлӧм	heart
сьӧлӧмшӧр	sweetheart
сьӧм	money
сьӧмӧс	heart
сьӧмӧс	pulp
сьӧп	widower
сэрӧг	nook
сю	rye
сю	cereal
сю	grain
сюв	intestine
сювчӧж	goldeneye
сюжет	subject
сюжет	topic
сюзь	owl
сюр	horn
сюрӧс	basis
сюрӧс	foundation
сюрӧс	topic
сюсь	notice
сям	character
сям	skill
сяр	ball
сёй	clay
сёйӧм	eating
сёйӧм	meals
сёрни	discussion
сёрни	conversation
сёрни	dialogue
сёрникузя	sentence
сёрникузя	clause
сёрнисикас	dialect
сёрнитчан	telephone
сёрнитчӧдысь	mediator
сёрнитчӧдысь	intermediary
сёрнитчӧм	agreement
сёртысь	sculptor
сёртӧд	education
сёрӧнджыкся	subsequent
сёрӧнджыкся	later
сёян	eating
сёян	food
сёянтор	food
сёянін	diner
сёянін	canteen
сі	fiber
сім	rust
сітанбек	buttock
сӧвет	soviet
сӧвет	council
сӧвет	advice
сӧветник	adviser
сӧвмӧм	development
сӧвмӧм	developed
сӧн	vein
сӧн	tendon
сӧн	sinew
сӧнйӧр	sinewousness
сӧнйӧр	strength
сӧнік	slush
сӧнӧд	muscle
сӧп	gall
сӧп	gallbladder
сӧс	filth
сӧстӧмлун	cleanliness
сӧстӧмлун	tidiness
таб	float
табак	tobacco
таблетка	tablet
таблетка	pill
таг	hop(s)
тагӧс	threshhold
такси	taxi
талант	talent
талант	gift
талун	today
таможня	customs
танк	tank
тасма	belt
тасма	strap
тасьті	plate
тасьті	saucer
татарин	Tatar
творчество	works
театр	theater
телевидение	television
телевидение	telecast
телеграмма	telegram
телеграф	telegraph
телепередача	telecast
телепон	(tele)phone
телефон	(tele)phone
тема	theme
тема	topic
температура	temerature
термин	term
терпенньӧ	patience
терпенньӧ	perseverence
террариум	terrarium
тесто	dough
техник	technician
техника	technic
техника	equipment
теш	comedy
тигр	tiger
тильган	handbell
типичнӧй	type
тираж	circulation
тоин	pestle
той	tick
том	volume
томан	lock
тополь	poplar
топыд	strong
тор	part
тор	piece
торговля	trade
торговля	commerce
торъялӧм	difference
тош	beard
трактор	tractor
транспорт	transportation
тревога	alarm
треска	cod
трест	trust
триллер	thriller
труба	pipe
тубрас	packet
тув	peg
тув	nail
тув	plug
тув	spring
тувсов	spring
туг	tuft
туг	tassle
туис	tuis
туй	road
туй	way
туйбӧр	track
туйбӧр	trail
туйвизь	platform
туйвизь	direction
туйныр	direction
туйныр	way
туйпом	goal
тулыс	spring
тун	witch
туналысь	wizard
туналысь	conjurer
тундра	tundra
тупу	oak
тупыль	ball
тупӧсь	loaf
тури	shadoof
туризм	tourism
турикуз	(Waldgeranium)
турипув	cranberry
турист	tourist
турнир	tournament
турок	Turk
турун	grass
турун	hay
турунчӧж	scaup
тусь	grain
тусь	kernel
тусь	berry
тусь	drop
тусяпу	juniper
туша	stature
туша	growth
туша	trunk
туша	body
туша	carcass
туялысь	researcher
туялӧм	researching
туясьысь	tracker
туясьысь	pathfinder
тшай	tea
тшайник	teakettle
тшайпод	slippers
тшак	mushroom
тшан	tub
тшан	vat
тшегыр	femur
тшемилӧ	vice
тшупӧд	level
тшыг	hunger
тшыг	starvation
тшыглун	hunger
тшыглун	starvation
тшын	smoke
тшӧка	chin
тшӧктӧм	order
тшӧктӧм	instruction
тшӧт	count
тшӧт	tally
тшӧтка	brush
тшӧтшкӧсін	plain
тшӧтшкӧсін	flatland
тшӧтшъя	contemporate
тшӧтшъя	twin
ты	lake
ты	lungs
тыв	seine
тыл	rear
тылӧс	chest
тылӧс	box
тымӧд	bank
тымӧд	wall
тырсьӧдчысь	inseminator
тыш	fight
тыш	war
тыш	fight
тыш	war
тыш	butt
тыш	back
тышкасьысь	fighter
тышкасьысь	soldier
тьӧт	aunt
тэг	sulphur
тэг	brimstone
тэс	tongs
тэчасног	infrastructure
тэчасног	heirarchy
тэчасног	status
тюбетейка	(hat)
тюлень	seal
тюрзан	whistle
тюрк	mercury
тюрьма	prison
тюрьма	jail
тють	cunt
тявкан	jackdaw
тӧв	wind
тӧв	winter
тӧвар	goods
тӧварищество	society
тӧварищество	partnership
тӧвдӧра	sail
тӧвру	breeze
тӧдмалӧм	knowledge
тӧдмалӧм	research
тӧдмалӧм	study
тӧдмӧс	sign
тӧдмӧс	mark
тӧдса	acquaintance
тӧдчанлун	familiarity
тӧдчанлун	knowledge
тӧдчанлун	noteworthiness
тӧдӧмлун	knowledge
тӧжд	care
тӧжд	concern
тӧжд	worry
тӧлк	sense
тӧлысся	period
тӧлысся	menses
тӧлысь	moon
тӧлысь	month
тӧрг	commerce
убытка	loss
ув	bough
ув	branch
увтас	lowland
увтасін	lowland
увтыртӧм	oppression
увтыртӧм	humiliated
увтыртӧм	debased
удж	work
удж	exercise
уджаланін	job
уджалысь	worker
уджалӧм	working
удждон	wage
удждон	salary
уджйӧз	debt
уджсикас	profession
уджтас	program
уджтӧмалысь	unemployed
удон	slander
удон	libel
уезд	uyezd
уж	stallion
ужпи	colt
узьланін	bedroom
узьӧм	sleep
указ	ukase
укол	injection
уксус	vinegar
улич	street
улича	street
улӧс	chair
улӧс	stool
ун	aunt
унапӧлӧслун	pluralism
уначута	etc.
унм	sleep
управление	administration
управляющӧй	control
ур	copeck
ур	squirrel
урбӧж	knotgrass
урбӧж	knotween
ури	peace
урма	gang
урок	lesson
уртшак	russula
урчитан	adverb
усадьба	lot
уск	moustache
условие	clause
условие	term
услуга	services
установка	installation
усьласьӧм	attack
утка	duck
утшыс	collar
участвуйтысь	participant
участник	participant
училище	school
училище	college
учредитель	founder
учреждение	establishment
учёнӧй	scientist
учёнӧй	scholar
фазан	pheasant
факультет	faculty
фанера	plywood
фашист	Nazi
федерализм	federalism
фельетон	feuilleton
ферма	farm
фермер	farmer
фестиваль	festival
фестиваль	February
физик	physicist
филиал	branch
филолог	philologist
филология	philology
философия	philosophy
финансист	financier
финн	Finn
фирма	firm
фирма	company
флаг	flag
фокусник	magician
фольклор	folklore
фонд	fund
форма	form
фотография	picture
фотография	photograph
фотосерпас	photograph
хант	Khanty
характер	character
характер	personality
химия	chemistry
хирург	surgeon
хит	hit
художник	artist
хутор	farm
хутор	farmhouse
цар	czar
центр	center
цех	section
цивилизация	civilization
цирк	circus
цынга	scurvy
чабыр	fist
чавкан	jackdaw
чаг	chip
чаг	shake
чад	fumes
чажакылӧм	crack
чажакылӧм	rip
чай	tea
чайник	teakettle
чайтӧм	assumption
чаль	pinky
чаль	spur
чаль	branch
чаль	twig
чань	colt
чань	foal
чард	lightning
чарӧм	crust
частушка	chastushka
часі	clock
часі	watch
чача	toy
чача	trinket
чача	knickknack
чашка	cup
чвет	flower
чек	receipt
челядь	child
челядь	children
чемпион	champion
чеп	chain
чепӧль	pinch
чер	ax
червон	hearts
чергӧдысь	killer
чергӧдысь	slayer
черепаха	turtle
черепаха	tortise
чери	fish
черипи	minnow
чернилӧ	ink
чибук	foal
чибук	colt
чибӧ	foal
чиг	muscle
чиган	Romani
чиган	Gypsy
чикысь	plait
чикысь	braid
чикыш	swallow
чими	salmon
чиновник	official
чиновник	functionary
чипан	chicken
чир	nelma
чир	speck
чир	fleck
чир	flake
чирк	grasshopper
член	member
чож	uncle
чожинь	aunt
чой	nephew
чой	niece
чой	sister
чой	hill
чой	hillside
чолӧмалӧм	greeting
чом	wickiup
чом	kennel
чом	hutch
чошӧ	pig
чошӧпи	piglet
чув	otter
чуж	malt
чужанвуж	generation
чужва	wort
чужӧм	birth
чужӧм	face
чужӧмбан	features
чужӧмбан	appearance
чужӧмпас	portrait
чукар	capercailzie
чуктӧс	profit
чуктӧс	gain
чукчи	capercailzie
чукыль	bend
чукыль	curve
чукыльӧсь	meandering
чукӧр	group
чукӧр	herd
чукӧртчӧм	meeting
чукӧртӧм	meeting
чукӧртӧм	gathering
чунь	finger
чусі	earrings
чут	period
чутік	comma
чушканзі	wasp
чышъян	shawl
чышъян	handkerchief
чӧд	blueberry
чӧд	bilberry
чӧд	whortleberry
чӧж	duck
чӧжӧм	accumulation
чӧлнӧк	shuttle
чӧс	trap
чӧсмасянтор	snack
чӧсмасянтор	treat
шабді	flax
шабді	linen
шаблон	template
шайт	rouble
шахта	mine
шахта	shaft
шахтёр	miner
шашки	checkers
шашки	draughts
шебрас	blanket
шег	ankle
шемӧс	astonishment
шензьӧданатор	miracle
шензьӧданатор	wonder
шер	hail
шифер	slate
шкатулка	box
шкатулка	case
школа	school
шлен	member
шлякыш	sleet
шмак	bump
шмак	tumour
шмонь	joke
шмонь	anecdote
шобді	wheat
шовинист	chauvinist
шог	misfortune
шог	grief
шог	care
шог	worry
шой	corpse
шой	carrion
шой	carcass
шойна	cemetery
шойччанін	resort
шойччанін	spa
шойччӧг	vacation
шолга	mast
шом	charcoal
шомгаг	(s5elkun)
шонді	sun
шондіюр	sunflower
шоныд	warmth
шоныд	heat
шопер	driver
шопер	chauffeur
шор	brook
шор	stream
шофёр	driver
шофёр	chauffeur
шоша	collar
шприц	syringe
штаб	staff
штаб	headquarters
штат	state
штопор	corkscrew
штрап	fine
штурм	storm
шудлун	happiness
шум	noise
шусьӧг	saying
шуӧм	resolution
шхераяс	skerries
шы	sound
шы	sound
шыд	soup
шыдӧс	cereal
шыдӧс	groats
шыла	awl
шыла	bradawl
шынель	greatcoat
шыпасчукӧр	alphabet
шыр	mouse
шыран	shears
шыран	scissors
шырсьысь	barber
шыш	tramp
шыш	culprit
шыш	thief
шыӧдчӧм	appeal
шӧвк	silk
шӧр	middle
шӧрасьысь	(raskrojs5ik)
шӧрин	center
шӧркыв	participle
шӧрт	yarn
шӧрт	thread
щель	slit
щель	crack
щипцы	tongs
щит	shield
щӧка	chin
щӧть	stubble
щӧть	bristles
щӧть	dorsalfin
ыб	highlands
ыб	platteau
ывла	yard
ывла	outdoors
ывла	nature
ыджда	size
ыджта	extent
ыджта	vastness
ыджыдаланін	kingdom
ыджыдалӧм	rule
ыж	sheep
ыкпаш	braggart
ылна	distance
ыргӧн	copper
ыргӧн	brass
ырӧш	kvass
ытва	flood
ытшкӧм	mowing
ышмӧм	prank
ышмӧм	naughtiness
эбӧс	strength
эжа	turf
эжа	sod
эжӧд	outside
эзысь	silver
экзамен	examination
экземпляр	copy
экология	ecology
экономика	economy
экономист	economist
экран	screen
экспонат	exhibit
электрификация	electrification
электричество	electricity
элемент	element
эмакыв	noun
эмбур	belongings
эмбур	wealth
эмигрант	emigrant
эмлун	existence
эмтор	reality
энциклопедия	encyclopedia
энь	female
энь	wife
эпидемиология	epidemiology
эра	era
эрд	clearing
эрд	square
эрд	plaza
эротика	erotics
эскытӧм	disbeliever
эскытӧм	doubter
эскытӧмлун	doubt
эскытӧмлун	uncertainty
эскӧданпас	certificate
эскӧм	faith
эскӧм	religion
эссе	essay
эст	Estonian
эстонеч	Estonian
этнос	ethnos
этш	ability
этш	skill
этшаник	minute
этшаник	tiny
этшкылӧм	conscience
эшкын	blanket
эштӧдӧм	completion
ю	river
юалӧм	question
югсер	photo(graph)
югсер	picture
югӧр	ray
югӧр	beam
югӧр	light
югӧр	reflection
югӧр	gleam
югӧрсер	picture
югӧрсер	photograph
юкмӧс	well
юковтас	part
юкӧд	division
юкӧдув	subdivision
юкӧн	part
юкӧн	department
юкӧн	section
юкӧнув	department
юкӧнув	section
юкӧнув	ward
юмовтор	sweet
юмовтор	candy
юр	head
юралысь	leader
юралысь	director
юралысь	president
юралысь	chief
юралысь	head
юрбитанін	chapel
юрвеж	memory
юрвот	hat
юрйыв	collar
юркар	capital
юркобув	umbrella
юркотыр	board
юрлӧс	pillow
юрним	heading
юрним	headline
юрним	title
юрнуӧдӧм	leading
юрнуӧдӧм	direction
юрпесан	puzzle
юрпесан	teaser
юрпинь	molar
юрси	hair
юрсигусь	dragonfly
юрыд	slander
юрыд	libel
ютыр	party
ютыр	association
юӧр	message
юӧр	information
юӧр	bulletin
юӧрпас	newspaper
юӧртӧм	communication
юӧртӧм	report
юӧръяс	news
яблӧг	apple
яблӧк	apple
ябыр	starling
яд	poison
ядрӧ	nucleus
ядрӧ	kernel
ядрӧ	core
язычник	heathen
язычник	pagan
яй	meat
яй	body
яй	muscles
яйси	muscle
яйси	sinew
яйси	nerve
яйси	vein
яла	lichen
яндзим	shame
яндысьӧм	embarrassment
яндысьӧм	shame
японец	Japanese
японеч	Japanese
яран	Nenets
ярлун	fury
ярлун	rage
ярлун	wrath
ярманга	fair
ячейка	cell
ячейка	locker
ячейка	department
ячейка	group
ящик	box
ящик	chest
ёг	garbage
ёг	litter
ёд	iodine
ёді	bream
ёж	hedgehog
ёкыш	perch
ёль	brook
ёма	witch
ёрд	court
ёрдъялысь	judge
ёрдысь	judge
ёрт	comrad
ёрт	friend
ёрӧм	excommunication
ёс	minnow
ӧбед	breakfast
ӧбезьяна	monkey
ӧбида	offence
ӧбича	character
ӧблик	appearance
ӧбраз	icon
ӧгурцы	cucumber
ӧд	rate
ӧд	tempo
ӧд	speed
ӧд	speed
ӧдзӧс	door
ӧжын	chisel
ӧзын	pier
ӧзын	quay
ӧксай	mister
ӧксань	lady
ӧксань	madame
ӧксы	prince
ӧксы	nobleman
ӧксы	gentleman
ӧктас	yield
ӧмидз	raspberry
ӧрек	nut
ӧружие	weapon
ӧтвес	plumb
ӧтдортчӧм	alienation
ӧтдортчӧм	estrangement
ӧтдортӧм	alienation
ӧткалун	solitude
ӧткодьлун	similarity
ӧткодьлун	equality
ӧтсяма	homogenous
ӧтсяма	alike
ӧтторъялун	whole
ӧттшӧтшъя	contemporate
ӧтувтчӧм	union
ӧтувтчӧм	unification
ӧтувъя	common
ӧчередь	line
ӧчередь	queue
ӧчки	glasses
ӧчки	spectacles
ӧш	bull
ӧшинь	window
ӧшкамӧшка	rainbow
ӧшыбка	mistake
биолог	biologist
гол	goal
терроризм	terrorism
дас	ten
дзурс	million
этша	little
этша	few
ӧкмыс	nine
ӧкмысдас	ninety
ӧти	one
ӧти	same
ӧтиысь	once
ӧтик	one
ӧтик	same
кӧкъямыс	eight
кӧкъямысдас	eighty
кык	two
кызь	twenty
коимӧд	third
комын	thirty
куим	three
квайт	six
квайтымын	sixty
мӧд	second
мӧд	other
мӧдӧд	second
мӧдӧд	other
миллион	million
нелямын	forty
нёль	four
первӧй	first
первой	first
сизим	seven
сизимдас	seventy
сё	hundred
сюрс	thousand
тысяча	thousand
уна	many
уна	several
уна	much
ветымын	fifty
вит	five
бау	moo
быз	plop
быз	splash
бультік	plop!
бультік	splash!
бут	slam!
дзиз	humming
дзиз	buzzing
гур	bang!
тарк	knock
абу	not
абу	no
быттьӧкӧ	apparently
быттьӧкӧ	allegedly
быть	must
буди	maybe
буди	probably
буди	evidently
будичи	probably
будичи	evidently
дак	yes
давай	let's
дзик	just
дзик	right
дзик	only
дзикӧдз	just
дзикӧдз	right
дзикӧдз	extremely
дзикӧдз	even
эськӧ	although
кыкнан	both
мӧй	maybe
муртса	just
муртса	only
муртса	barely
муртса	almost
муртса	nearly
на	still
со	hence
со	thus
тшӧтш	together
тшӧтш	also
вай	let's
вӧлӧмкӧ	hence
бӧр	behind
бӧр	beyond
бӧрся	after
бӧрся	after
бокиті	past
вöсна	for
йылысь	about
чӧж	during
ӧтдор	besides
гӧгӧр	around
кузя	along
лыд	amidst
лыд	among
мысти	in
мысьт	in
ног	by
ньылыд	down
ньылыд	along
паныд	against
паныд	up
паныд	preceding
паныдӧн	opposite
паныдӧн	facing
пасьтала	throughout
пӧлӧн	along
пи	among
пыр	through
пыр	over
пытш	inside
вомӧн	over
вомӧн	across
эсійӧ	that
тайӧ	that
эсы	that
этійӧ	this
кӧнкӧ	somewhere
кодкӧ	someone
кодсюрӧ	somebody
кодсюрӧ	anybody
мыйкӧ	something
мыйсюрӧ	something
мыйсюрӧ	anything
кӧні	where
кытӧн	where
кыдзи	how
кысь	whence
кытчӧ	whither
кытысь	whence
кодар	what
кодар	which
коді	who
кодыр	when
кодъяс	who
кор	when
кутшӧма	how
мый	what
мыйла	why
ме	I
менам	my
ми	we
мийӧ	we
на	they
найӧ	they
найӧ	they
найӧс	them
сійӧс	him
сійӧс	her
сійӧс	it
сы	he
сы	she
сы	he
сы	she
та	he
та	she
тайӧ	this
тайӧяс	these
тэ	you
тэнад	your
ті	you
быд	each
быдӧн	everyone
быдӧн	everybody
быдся	each
быдся	every
быдсяма	each
быдсяма	every
быдсӧн	all
быдсӧн	everybody
этшаӧн	few
ӧтар	one
мӧдар	other
мукӧд	other
мукӧд	remaining
ньӧти	none
став	all
став	whole
став	very
став	entirely
став	all
ставӧн	everyone
ставӧн	everybody
ставыс	all
ставыс	everything
ас	own
кӧні	where
кытчӧдз	until
кытчӧдз	till
кытӧні	where
кытысь	whence
коді	who
коді	that
коді	which
коді	who
коді	that
коді	which
кор	when
некытчӧ	nowhere
некыті	nowhere
некод	neither
нем	nothing
Индiа	India
Рочму	Russia
Азия	Asia
Австралия	Australia
Европа	Europe
Сибир	Siberia
Мордовия	Mordovia
Абхазия	Abkhazia
Болгария	Bulgaria
Ижевск	Izhevsk
Карелия	Karelia
Краснодар	Krasnodar
Мӧскуа	Moscow
Миссисипи	Mississippi
Библия	Bible
Куратов	Kuratov
Лыткин	Lytkin
Тимин	Timin
Торопов	Toropov
Юшков	Yushkov
Бияр	Biyar
