abstrákta	abstrakti
lohkamuš	lukeminen
lohkan	lukeminen
lohkanbihttá	lukukappale
lohkangirji	lukukirja
lohkanortnet	lukujärjestys
lohki	lukija
lohkka	lukko
lohkki	kansi
lohku	luku
lohpi	lupa
lohpádus	lupaus
loksa	luotsi
lokta	vintti
lonisteaddji	lunastaja
lonástus	lunastus
lotnji	laskos
lottegazza	linnunvarvas
lovpár	karkulainen
lovssa	luotsi
lubma	tasku
luhkkár	lukkari
luhčadávda	ripuli
luiste	luistin
lulli	etelä
lulli	itä
lullisámegiella	eteläsaame
lullisápmelaš	eteläsaamelainen
lullisápmi	eteläsaamelainen
luládat	etelätuuli
luládat	itätuuli
lumma	tasku
lummor	taskukello
lunta	poika
luodda	jälki
luodda	polku
luoddaearru	tieristeys
luoddaearru	katuristeys
luogga	luokki
luohkká	luokka
luohkká	mäki
luohkkálatnja	luokkahuone
luohti	joiku
luohttevašvuohta	luottamus
luohttámuš	luottamus
luohttámušalmmái	luottamusmies
luohttámušolmmoš	luottamusmies
luoilá	märisijä
luokta	lahti
luokti	katos
luomemeastu	lakkahillo
luomi	lakka
luomi	hilla
luonddugáhttenlihttu	luonnonsuojeluliitto
luonddumeahcci	luonnonpuisto
luondduresursa	luonnonresurssi
luondduriggodat	luonnonresurssi
luondu	luonto
luopmobeaivi	lomapäivä
luopmu	loma
luoppal	lompolo
luossa	lohi
luossabihttá	lohipala
luossabivdi	lohenpyyntö
luossabivdu	lohikalastus
luossagilvu	lohikilpailu
luossajohka	lohijoki
luossaláibi	lohivoileipä
luossanálli	lohityyppi
luossaveajet	lohenpoikanen
luotni	roska
luovvar	apila
luovččan	taltta
luođđa	luoti
lurvu	rätti
lutton	halkoja
lutton	halkaisukirves
luvdá	luuta
luŋká	luukku
lužas	ripuli
lábástat	purjeneula
ládda	panos
ládju	heinätyö
lága	laki
lággu	pyöreäpyrstömolva
lággá	umpisuoli
lággá	letku
lágideaddji	järjestäjä
lágut	heinäkupo
lágádus	kustantamo
láhka	laki
láhka	made
láhkabargu	lakityö
láhkaevttohus	lakiehdotus
láhkalávdegoddi	lakilautakunta
láhkamearrádus	lakipäätös
láhkarievdadus	lakimuutos
láhkateaksta	lakiteksti
láhkaárvalus	lakiehdotus
láhkaásahus	määräys
láhki	tapa
láhki	laatu
láhkka	lakka
láhkkehaš	laes
láhpa	sarventyvi
láhpa	kavennus
láhttenvuohki	käytäntö
láhtterátnu	lattiamatto
láhtti	lattia
láhttu	latu
láhtu	lato
láibbohat	leipomo
láibesuvli	päällyste
láibevajahas	leipäviipale
láibi	leipä
láiddon	laidun
láigi	lanka
láigolaš	vuokralainen
láigu	vuokra
láikkan	laiskuri
láiká	laiskuri
láirá	savi
láittus	moite
lákca	kerma
lákcagáhkku	kermakakku
lákcajiekŋa	jäätelö
lákcajiekŋa	jätski
lámpu	lamppu
lámpá	lamppu
lánnot	lantalainen
lánto	lantti
láppaskas	karitsannahka
láppis	karitsa
lárbma	melu
láse	ikkuna
láse	lasi
lásegárbma	ikkunapieli
láseliidni	verho
láseliidni	verhot
láseráigi	ikkuna
láskkáš	laskiainen
lássa	lasi
lássa	ikkuna
lássaliidni	verho
lássaliidni	verhot
lássalávdi	ikkunapieli
látna	kasa
látna	läjä
láttasadji	maihinnousupaikka
láttat	lakka
láttat	hilla
láttu	lampi
láttu	lätäkkö
lávda	lippu
lávdealmmái	lautamies
lávdegoddi	lautakunta
lávdi	näyttämö
lávdi	lava
lávggohat	kylpylä
lávgungárri	kylpyamme
lávgungárri	amme
lávgunlatnja	kylpyhuone
lávka	laukku
lávkebiffa	sipulipihvi
lávki	askel
lávki	ruokasipuli
lávkkis	kirppu
lávli	nukka
lávlla	laulu
lávllagirji	laulukirja
lávlu	laulaja
lávlu	laulajatar
lávlun	laulaminen
lávlungilvu	laulukilpailu
lávttadas	kostuke
lávttas	kostea
lávttas	kosteus
lávvardat	lauantai
lávvi	ystävä
lávvordat	lauantai
lávvu	laavu
lávži	hihna
lávžá	hevospaarma
láđđegákti	verkapuku
láđđegákti	verkalapintakki
láđđi	verka
lášmmohallan	jumppa
lášmmohallan	liikunta
majonesa	majoneesi
mandáhta	mandaatti
manimuš	munuaiset
manni	menijä
manni	menevä
mannji	miniä
margariidna	margariini
marsipánagáhkku	marsipaanikakku
matematihkka	matematiikka
materiála	materiaali
mađđa	suuntapiirrin
maŋŋebuoidi	peräsuoli
maŋŋebárga	tiistai
maŋŋelgaskabeaivi	iltapäivä
mašiidna	kone
meahcceráđđehus	metsähallitus
meahcci	erämaa
meahcásteapmi	metsästäminen
meahkástat	taivaanvuohi
mealli	mela
mealli	rasvaevä
meannu	käytäntö
mearaguolli	merikala
mearka	merkki
mearkabiire	merkkipiiri
mearkkastat	merkintä
mearkkašupmi	merkitys
mearra	meri
mearrabivdu	kalastus
mearrabivdu	kalastaminen
mearraguolli	merikala
mearraguovlu	merialue
mearragáddi	merenranta
mearragáddi	rannikko
mearraháskil	leveäpyrstökihu
mearrasápmelaš	merisaamelainen
mearrasápmi	merisaame
mearrasápmi	merisaamelainen
mearrebeaivi	määräpäivä
mearri	määrä
mearridanváldi	päätösvalta
mearrádus	määräys
mearrádusevttohus	päätösehdotus
meassu	messu
meassu	juhlat
meattáhus	virhe
meaštár	mestari
media	media
mehter	metri
meren	merisaamelainen
merken	merkintä
metoda	metodi
miehkki	miekka
miehta	hunaja
mieiganstuollu	nojatuoli
mieiggastat	selkänoja
miekta	mätässara
mielddus	liite
mielga	rintalasta
mielki	maito
miella	mieli
miella	tuuli
miellaguoddu	mielipide
miellaguoddu	asenne
miellahttu	jäsen
miellačájáhus	mielenosoitus
mielli	rantatörmä
mielli	jokitörmä
mielli	mäki
mierká	sumu
miessadat	vasannahka
miessemánnu	toukokuu
miesseáldu	vasavaami
miessi	vasa
miestta	pensas
mihcamárat	juhannus
mihkalmas	mikkeli
mihttomearri	tavoite
mihttu	mitta
militeara	sotilas
miljon	miljoona
millu	mylly
minerála	mineraali
minerálaláhka	mineraalilaki
minister	ministeri
ministtar	ministeri
minoritehta	vähemmistö
minoritehtta	vähemmistö
minta	leima
minta	minttu
minuhtta	minuutti
mirkko	myrkky
mirko	myrkky
missu	hera
miššovdna	lähetys
moahtta	ruutimitta
moahtta	syyhy
moaitta	valitus
moalla	maali
moallaolmmái	maalivahti
moarahat	railo
moarsi	tyttöystävä
moarsi	morsian
mobiila	kännykkä
mobiila	matkapuhelin
modealla	malli
modji	hymy
mohkki	mutka
mohtor	moottori
mohtorgielká	lumikelkka
mohtorgielká	skootteri
mohtorsearvi	moottorikerho
moivi	sekasorto
mokta	into
molssaeaktu	vaihtoehto
molssodanlatnja	pukuhuone
molssodanlatnja	pukukoppi
monni	muna
mopeda	mopo
moraš	murhe
moraš	suru
morddár	murhaaja
moriidus	heräys
morči	laskimo
morša	mursu
mođđi	muta
muddu	vaihe
mugga	kannu
muhtter	mutteri
muitalus	kertomus
muiti	muistaja
muitu	muisti
muldi	multa
mulggon	mulkoilija
mullju	sekamelska
muogir	mäkäräinen
muohcu	kirjakoi
muohta	lumi
muohtaáddjá	lumiukko
muohtti	lumipyry
muohtti	lumisää
muohtu	poski
muolda	multa
muolddat	kenttämyyrä
muorjemeastu	hillo
muorji	marja
muorra	puu
muotki	kannas
muotki	muotka
muođut	kasvot
muoŧŧal	sisarenlapsi
muoŧŧá	täti
murdu	tiheikkö
musea	museo
museadoaibma	museotoiminta
museaođastus	museouudistus
musihkar	muusikko
musihkka	musiikki
musihkkafestivála	musiikkifestivaali
musihkkár	muusikko
muttar	kateturve
mutuvra	moottori
muvra	muura
muzet	mustikki
muŋka	munkki
máddi	etelä
máddu	juuri
mádjit	majava
mádjitája	majavapuro
mágoddi	kansanjoukko
máhka	setä
máhka	lanko
máhkka	hietamato
máhku	maku
máhta	ruoka
máhtolašvuohta	kelpoisuus
máhttodepartemeanta	tietoministeriö
máhttu	taito
máhttu	osaaminen
máhttájeaddji	opetuslapsi
mái	toukokuu
máihli	mahla
máilbmi	maailma
máilmmicup	maailmancupi
máilmmisoahti	maailmansota
máinnas	tarina
máinnas	lastentuokio
máistin	maistaminen
máistin	makuaisti
máksu	maksu
máksu	vastike
máksu	kosto
mála	maali
málbma	malmi
málbma	ydinpuu
málesheajat	ruokahäät
máleslihtti	kattila
máleslihtti	ruokailuastia
málesruitu	kattila
málestangursa	ruoanlaittokurssi
málestangursa	ruuanlaittokurssi
mális	keitto
mális	rokka
málle	malli
málli	keitto
málli	rokka
málli	velli
mállásat	päivällinen
málár	maalari
mámmon	mammona
mánnodat	maanantai
mánnu	kuu
mánnu	kuukausi
mánná	lapsi
mánnábiigá	lastenvahti
mánnágeahčči	lastenvahti
mánnávuohta	lapsuus
mánoheahpi	kuutamo
mánáidboddu	lastentunti
mánáidboddu	lastentuokio
mánáidgirji	lastenkirja
mánáidgárdefálaldat	lastentarhatarjonta
mánáidgárdeláhka	lastentarhalaki
mánáidgárdesadji	lastentarhapaikka
mánáidgárdi	lastentarha
mánáidmánná	lapsenlapsi
mánáidruoktu	lastenkoti
mánáidsuodjalus	lastensuojelu
mánáš	lapsonen
márahat	tyrsky
márdu	marto
márfi	makkara
márjjábeaivi	Marianpäivä
márkan	markkina
márkan	kirkonkylä
márkanbáiki	kirkonkylä
márki	markka
mársu	kori
másealgi	vedenjakaja
máska	naamari
mátkeealáhus	matkailuelinkeino
mátkeolmmái	matkaseura
mátki	matka
mátkkošteaddji	matkustaja
mátkkálaš	matkalainen
mátkkálaš	matkustaja
mátta	tyvi
mátta	vartalo
máttabátni	poskihammas
máttarvánhen	esivanhempi
máttaráddjá	isoisoisä
máttaráhkku	isoisoäiti
máttasámegiella	eteläsaame
máttasápmi	eteläsaamelainen
máđir	ahomatara
mášiidna	kone
nagir	uni
nalli	lökäpöksy
namahus	nimitys
namma	nimi
nammaláhpat	nimiloppu
nanni	sisämaa
nannán	manner
narkotihkka	huume
neahku	ulkonäkö
neahti	näätä
neahtta	netti
neahttasiidu	nettisivu
nealgejahki	nälkävuosi
nealggár	ahmatti
nealgi	nälkä
neavttár	näyttelijä
neavva	neuvo
neavva	suositus
nelet	nelikko
niehkki	niska
niehku	uni
niehkulaš	haaveilija
niehtti	pähkinä
nieida	tyttö
nieida	tytär
nieidavuohta	neitsyys
nieidačivga	tyttölapsi
nieidačivga	tyttö
nieiddaš	tyttönen
nierra	poski
nierra	poskipää
niesteboazu	eväsporo
niesti	eväät
nigolaš	unennäkijä
nihlla	hihitys
nihta	uhkaus
niibeboagán	puukkovyö
niibeboagán	veitsivyö
niibi	veitsi
niisa	niisi
niitu	niitty
niski	niska
niskkis	lattiapalkki
nisogordni	vehnäjyvä
nisojáffut	vehnäjauhot
nisoláibi	vehnäleipä
nisoláibi	pulla
nisson	nainen
nissongákti	naistenpuku
nissonjoavku	naisseura
nissonolmmoš	nainen
nissonolmmoš	naisihminen
nisu	nainen
nisu	vaimo
nisu	vehnä
njabadas	palanpainike
njabbi	kenosarvi
njahkanas	nikotus
njalddán	porovaras
njavki	viiste
njavvi	niva
njaŋgaras	rötkäle
njeahcet	saraheinä
njealjejuvlageassi	neliveto
njealjit	nelisoutu
njealjádas	neljännes
njeavdi	lampaannata
njeccon	irvistelijä
njejohat	lakoheinä
njelješ	nelonen
njelot	nelikko
njielastat	nielaisu
njierrá	hiiri
njivdnja	täinmunat
njivli	lima
njivžžanas	lieska
njiŋŋelas	naaras
njiŋŋálas	naaras
njiškun	nauhapirta
njoammelsuoidni	lehtokorte
njoammil	jänis
njoammu	matelija
njoarosteaddji	suopunginheittäjä
njoavdnja	pikkunieriä
njoazan	vitkuttelija
njođahas	sekamelska
njuikehat	hyppyri
njuikestat	hypähdys
njuikkohat	hyppimispaikka
njuikkon	hyppijä
njuikun	hyppy
njukča	joutsen
njukčamánnu	maaliskuu
njunnegeahči	nenänpää
njunni	nenä
njunni	nenäke
njunnádas	keulakuorma
njunuš	kärki
njuohcu	raate
njuolggadus	sääntö
njuolggadus	säädös
njuolla	nuoli
njuolvi	ressukka
njuolvá	ressukka
njuorat	vastasyntynyt
njuorggis	rusto
njuorjjot	hyljekenkä
njuorjju	hylje
njuorju	hylje
njuoskkadas	kostuke
njuovadeapmi	teurastus
njuovahat	teurastamo
njuovvan	teurastus
njuovvanrusttet	teurastamo
njuovvi	teurastaja
njuovčča	kieli
njuozat	vetelys
njurggon	viheltelijä
njuvddán	survoin
njuvvat	hietakampela
njágan	hiiviskelijä
njággu	kenosarvi
njálbmi	suu
njálggeshildu	karkkihylly
njálggis	makeiset
njálggus	karkki
njálggus	makeiset
njálla	naali
njálla	napakettu
njálmmádat	suisto
njámastat	kahmaisu
njárbesoaivi	harvasarvi
njárga	niemi
njávggas	nauˈunta
njášši	allikko
noaidi	šamaani
noarsa	mutu
noarvi	piena
noađđi	taakka
nohkkanlatnja	makuuhuone
nohkkanáigi	nukkumaanmenoaika
norbma	normi
notáhta	muistio
novrrán	koillinen
novrrán	koillistuuli
nođđu	kerä
nulla	nolla
nummar	numero
nummir	numero
nuohtta	melodia
nuohtti	nuotta
nuoraidklubba	nuorisokerho
nuoraidkonferánsa	nuorisokonferenssi
nuoraidlávdegoddi	nuorisolautakunta
nuoraidorganisašuvdna	nuorisojärjestö
nuoraidpolitihkka	nuorisopolitiikka
nuoraidskuvla	yläaste
nuorra	nuori
nuorrabárra	nuoripari
nuorravuohta	nuoruus
nuorri	salmi
nuorta	itä
nuorta	pohjoinen
nuortalaš	koltansaamelainen
nuortalašgiella	koltansaamenkieli
nuortalašgiella	koltankieli
nuortasápmi	itäsaamelainen
nuorti	itä
nuorti	pohjoinen
nuorvu	nuha
nuorvvu	nuha
nuoskkideapmi	saaste
nuovvebáddi	hamppuköysi
nuovvebáddi	hamppunaru
nuppástus	muutos
nurki	kulma
nurrodat	nuoruus
nuvsku	nuuska
nuvttot	nutukas
nággi	näppylä
nággu	riita
náhkkebivttas	nahkavaatteet
náhkkebivttas	nahkavaate
náhkkelaš	nahkavaate
náhkkesoffá	nahkasohva
náhkki	nahka
náhkálaš	nahkaesine
náhppa	poikkikorva
náittosbárra	hääpari
náittosdilli	avioliitto
náittosgovva	hääkuva
náittospárra	hääpari
náittus	häät
náittusvuohta	avioliitto
nákca	kyky
nálas	rotu
nállu	neula
námmʼoaivi	naamasarvi
náránaš	näppy
náskál	naskali
násteboagán	hopeavyö
násti	tähti
nástá	nasta
návdi	susi
návdi	petoeläin
návet	navetta
návetgoahti	navettakota
návetvázzi	karjakko
návetvázzi	lomittaja
návrraš	nauris
návste	venevaja
návstu	venevaja
náđet	jurakko
náššon	kansakunta
oabbá	sisar
oabbá	sisko
oadjebasvuohta	turvallisuus
oaffar	uhri
oaggungilvu	kalastuskilpailu
oahcci	hakija
oahci	rajoitus
oahpaheaddjeoahppu	opettajanopetus
oahpaheaddji	opettaja
oahpahus	opetus
oahpahusguovddáš	opetuskeskus
oahpahusláhka	opetuslaki
oahpahusossodat	opetusosasto
oahpahusráđđi	opetusneuvosto
oahppa	tieto
oahppi	oppilas
oahppofálaldat	opetustarjonta
oahppogirji	oppikirja
oahppolávdegoddi	opintolautakunta
oahpponeavvu	opetusmateriaali
oahppoplána	opetussuunnitelma
oahppostipeanda	opiskelijastipendi
oahppu	oppi
oaidni	näkijä
oaidni	vahti
oaidni	selvänäkijä
oaidnu	mielipide
oainnus	näköala
oaivebávččas	pääkipu
oaivebávččas	migreeni
oaivegávpot	pääkaupunki
oaiveskálžu	pääkallo
oaivi	pää
oaivil	mielipide
oaivvahat	kerä
oaivádat	kalaparvi
oaksi	oksa
oalga	olki
oalgejohka	sivujoki
oalgguhus	yllytys
oalgi	olkapää
oalis	olas
oalul	alaleuka
oamastanvuoigatvuohta	omistusoikeus
oamasteaddji	omistaja
oambealle	serkku
oamedovdu	omatunto
oanádus	lyhenne
oapmahaš	omainen
oapman	uuni
oapmi	omistus
oappáš	pikkusisko
oarbbis	orpo
oarda	orsi
oarjelsámegiella	länsisaame
oarjelsápmi	länsisaamelainen
oarjemáilbmi	länsimaailma
oarji	länsi
oarji	etelä
oarpmealle	tyttöserkku
oarri	orava
oasseprográmma	osaohjelma
oasseváldi	osallistuja
oasseváldi	osaanottaja
oassi	osa
oassálasti	osallistuja
oasti	ostaja
oastin	osto
oastu	ostos
oasus	osake
oasálaš	osallinen
oasálaš	onnekas
oatna	vihi
oaván	urho
oaván	urhea
oađđenlatnja	makuuhuone
oađđinlatnja	makuuhuone
oađđinseahkka	makuupussi
obbalággá	umpisuoli
ofelaš	tiennäyttäjä
ogon	huijari
ohca	povi
ohcamuš	hakemus
ohcan	hakemus
ohcanáigi	hakuaika
ohcci	hakija
oktavuohta	yhteys
olahus	ennätys
olbmoborranrássi	väinönputki
olggobealle	ulkopuoli
olggoš	kansio
olgguldasbivttas	ulkovaatteet
olgofeaskkir	ulkoeteinen
olgoriika	ulkomaa
olgoriikadepartemeanta	ulkoministeriö
olgoriikalaš	ulkomaalainen
olgoseaidni	ulkoseinä
olju	öljy
ollesolmmoš	aikuinen
ollesčoahkkin	täysistunto
olli	ulottuvuus
ollisvuohta	kokonaisuus
olmmoš	ihminen
olmmoš	henkilö
olmmošlohku	asukasluku
olmmošvuohta	inhimillisyys
olmmošvuohta	ihmisyys
olmmošvuoigatvuohta	ihmisoikeus
olmmošvuoigatvuođaláhka	ihmisoikeuslaki
olmmái	ystävä
olmmái	mies
olámuddu	ulottuvuus
omman	uuni
omman	hella
opera	ooppera
opmodat	omaisuus
opmodat	omistus
ordi	särmä
ore	ori
organisašuvdna	järjestö
orgel	urku
orgána	elin
orohat	paliskunta
orohatstivra	aluejohtokunta
orrunlatnja	olohuone
orrunlatnja	tupa
orrunsadji	asuinpaikka
ortnet	järjestys
ortnet	kunto
oskkáldasvuohta	uskollisuus
osku	usko
osku	uskonto
oskál	luottamus
osolaš	osallinen
osolaš	osakas
ossodat	osasto
ovcceš	ysi
ovccádas	yhdeksäsosa
ovdabargu	esityö
ovdagovva	ideaali
ovdagáddu	ennakkoluulo
ovdajuolgi	etujalka
ovdamearka	esimerkki
ovdamunni	etu
ovdanamma	etunimi
ovdanbuktin	esitys
ovdaolmmoš	esimies
ovdaolmmoš	esinainen
ovdaprošeakta	esiprojekti
ovdasaš	etiäinen
ovdaskuvlaoahpaheaddji	esikouluopettaja
ovddastus	edustus
ovddasvástádus	vastuu
ovddasvástádussuorgi	vastuualue
ovddidanbargu	yhteistyö
ovddidanfoanda	kehitysrahasto
ovdu	etu
ovdu	etuus
ovdánahttinbargu	kehitystyö
ovdánanvejolašvuohta	kehitysmahdollisuus
ovdáneapmi	kehitys
ovsttán	itätuuli
ovttadat	yksikkö
ovttamielalašvuohta	yksimielisyys
ovttaoaivilvuohta	yksimielisyys
ovttasbargoguoibmi	yhteistyökumppani
ovttasbargoorgána	yhteistyöelin
ovttasbargoprošeakta	yhteistyöprojekti
ovttasbargovuohki	yhteistyömuoto
ovttasbargošiehtadus	yhteistyösopimus
ovttasbargu	yhteistyö
ovttasorru	avopuoliso
ovttasráđđi	yhteisneuvo
ovtteš	ykkönen
ođas	uutinen
ođasmahtti	uudistuva
ođasmahttin	uudistus
ođastus	uudistus
ođđabeairuohtta	uudenvuodenaatto
ođđabeaivi	uudenvuodenpäivä
ođđajagemánnu	tammikuu
ođđajagimánnu	tammikuu
ođđajagiruohtta	uudenvuodenaatto
ođđajahki	uusivuosi
ođđaássi	uudisasukas
paragráfa	pykälä
parlameanta	parlamentti
pasieanta	potilas
peanna	kynä
penšunista	eläkeläinen
persovdna	henkilö
perspektiiva	näkökulma
pizza	pizza
pizza	pitsa
piáno	piano
plakáhta	juliste
plokka	aura
pláhtta	levy
plána	suunnitelma
plánabargu	suunnittelutyö
plánaeiseváldi	suunnitteluviranomainen
plánaproseassa	suunnitteluprosessi
plánen	suunnittelu
plásttar	laastari
pláŋkosahá	lankkusaha
poasta	posti
poastabiila	postiauto
poastaboksa	postilaatikko
poastamearka	postimerkki
poliisa	poliisi
politihkar	poliitikko
politihkka	politiikka
politihkkár	poliitikko
politiija	poliisi
politiijaguovlu	poliisialue
posišuvdna	asema
potensiála	potentiaali
preassa	lehdistö
preassadieđáhus	lehdistötiedote
preassagovva	lehdistökuva
preassaguovddáš	lehdistökeskus
presideanta	presidentti
prinseassa	prinsessa
prinsihppa	periaate
proavás	rovasti
profehta	profeetta
professor	professori
profiila	profiili
prográmma	ohjelma
projeakta	projekti
proseanta	prosentti
proseassa	prosessi
prosedyra	menetelmä
prostitušuvdna	prostituutio
provsta	rovasti
prošeakta	projekti
prošeaktadoarjja	projektihakemus
prošeaktajođiheaddji	projektijohtaja
prošeaktaruhta	projektiraha
prámá	proomu
pubba	pubi
pulta	pulpetti
pumpa	pumppu
pusse	pussi
páhkka	paketti
pálbma	palmunoksa
pálbmalávvardat	palmulauantai
pálbmalávvordat	palmulauantai
pálbmamuorra	palmupuu
pálbmasotnabeaivi	palmusunnuntai
pánta	pantti
párra	pari
párragoddi	pariskunta
pássa	passi
pássár	harppi
rabasvuohta	avoimuus
raddeleahppi	rintaläppä
raddeleahppi	kauluri
raddi	rinta
radio	radio
rahkadas	aluskasvillisuus
rahppi	avaaja
ramas	luomenreuna
rampi	huithapeli
raporta	raportti
rasisma	rasismi
ravda	reuna
reabbá	rapu
readdju	takki
reahka	reki
reahpenjávri	saivojärvi
reahtta	ruokalaji
reaidnár	poropaimen
reaidu	työkalu
reakci	härmäsieni
reantu	korko
reaská	muikku
reastalas	räystäs
reatká	kataja
reavgganas	röyhtäisy
reavri	länkisääri
reavvi	länkisääri
reaŋga	renki
reašmi	juuriköysi
redaktevra	päätoimittaja
referánsajoavku	referenssiryhmä
regiovdna	alue
registtar	rekisteri
regiuvdna	alue
rehket	lasku
rehketdoallu	tilinpito
reiskáhppi	pyyntiväline
reive	kirje
rektor	rehtori
replihkka	repliikki
restoráŋŋa	ravintola
resursa	resurssi
revolušuvdna	vallankumous
reŋko	palli
ribat	sikolätti
ribon	savipuoli
ridda	ristikko
ridda	säleikkö
riddodepartemeanta	rannikkoministeriö
riddodorski	rannikkoturska
riddoguovlu	rannikkoseutu
riddoministtar	rannikkoministeri
riddu	rannikko
ridnu	kilpa
rieban	kettu
riebangolli	kattikulta
riebansilba	katinkulta
riegádanbeaiskeaŋka	syntymäpäivälahja
riegádanbeaivedearvvuođat	syntymäpäiväterveys
riegádanbeaivi	syntymäpäivä
riegádanmearka	syntymämerkki
riegádeapmi	syntymä
riehkan	työkkyri
riehkki	ajopuu
riehpogállis	repolainen
riehpu	raukka
riehpu	parka
riehtet	vuotakenkä
riehtis	rietas
riehtis	piru
riehtti	vuota
riektavuohta	oikeellisuus
riektedilálašvuohta	oikeussuhde
riektesubjeakta	oikeussubjekti
riekti	oikeus
riestalas	räystäs
rievdadeapmi	muutos
rievdadus	muutos
rievdan	muutos
rievssat	riekko
rievssatbivdu	riekonpyynti
rievssatcizáš	pajulintu
rievssatfálli	tunturihaukka
rievssatmuorji	riekonmarja
rievvu	ryöstö
rievvár	ryöväri
rievvár	rosvo
riffal	rihveli
riggodat	rikkaus
rihca	rääpäle
rihccecuoppu	sammakko
rihcit	sammakko
rihkku	pilkku
rihkkun	pilkku
rihkus	rikos
rihppa	rippi
rihppamánná	rippilapsi
rihppaskuvla	rippikoulu
rihtu	myrsky
rihtu	vyöry
riibmageađgi	riimukivi
riidu	riita
riifu	etana
riifu	harava
riika	valtio
riikarádji	valtionraja
riikkajoavku	maajoukkue
riikkarádji	valtionraja
riikkarádji	riikinraja
riikkarádjá	valtionraja
riikkarádjá	riikinraja
riikkasearvi	maanjärjestö
riikkačoahkkin	maakokous
riipu	etana
riipu	varpekansi
rikkisvuohta	rikkaus
risen	riisi
risenbuvru	riisipuuro
risenrievdna	riisiryyni
risku	risku
risteadni	kummitäti
risttalašvuohta	ristinusko
ristáhčči	kummisetä
risváhnen	kummivanhin
rivgovuolpu	keräpääpoimulehti
riđđu	viima
riđđu	tuuli
riŋga	uuninrengas
riŋggal	rinkeli
rišša	ryöppy
rišša	roiske
riššadoassa	tulitikkuaski
riššasággi	tulitikku
riššu	suihku
roahpi	romu
roahttu	rutto
roaski	roska
roassa	tuulenpuuska
roassu	poropeukalo
roatnet	kapasiika
roavru	komojää
roavskkádat	hankikeli
roavvá	rouva
roašmevihki	spitaali
rock	rokki
rogaš	ruis
roggi	kuoppa
roggi	uoma
roggi	jokilaakso
rohkaláibi	ruisleipä
rohkki	vainaja
rohkkil	höylä
rohkos	rukous
rohpi	katto
rohtu	lehto
rohtu	ryteikkö
roibbon	mutrusuu
rokkahat	kaivanto
rolla	rooli
roman	rumilus
romat	rumilus
romfa	valtti
romána	romaani
ropmivuohta	rumuus
ropmodat	rumuus
rosttot	könkämävuomalainen
rotnu	runo
rovgoš	suokukko
rovvi	silta
rožohat	vatsanväänne
rudda	mauste
rudni	jääkolo
rufanas	hutilus
rufe	ruuhi
ruhci	törky
ruhkku	ruukku
ruhpa	sakka
ruhta	raha
ruhtabursa	lompakko
ruhtadeaddji	rahoittaja
ruhtadeapmi	rahoitus
ruhtadilli	taloustilanne
ruhtadoarjja	rahatuki
ruhtarássi	pikkulaukku
ruhtasubmi	rahasumma
ruigu	ruipelo
ruitu	pata
ruivvan	sottapytty
ruksesjuolčoavžžu	punajalkaviklo
ruksessealgi	punamyyrä
ruksessáhpán	kotihiiri
ruktá	ikkunaruutu
rullit	siankärsämö
rumaš	keho
rumaš	ruumis
rumašlahttu	elin
rumašlahttu	ruumiinosa
rumbu	rumpu
rundierpmis	rasvakala
runčuksu	rasvakala
ruobbi	rupi
ruobboaivi	rupipää
ruohcas	juuri
ruohkahat	raapaisujälki
ruohkastat	raapaisu
ruohtas	juuri
ruohtas	kantasana
ruohtta	aatto
ruoigu	kauris
ruoinnasvuohta	laihuus
ruoivil	hemppo
ruoksi	tuumi
ruoksi	utare
ruoktu	koti
ruomas	susi
ruosku	perse
ruossa	risti
ruossa	risteys
ruossaliidni	ristiliina
ruosta	ruoste
ruotkkuš	juurakko
ruotku	juurakko
ruovdegulmmet	kolmipiikki
ruovdečuolda	ruostesuoni
ruovdi	rauta
ruovttoluodda	takaisin
ruovttubargu	läksy
ruovttubargu	kotitehtävä
ruovttubáiki	kotipaikka
ruovttudoallu	kotitalous
ruovttuguovlu	kotiseutu
ruovttusiidu	kotisivu
ruovttuveahkki	kotiapulainen
ruovttuveahkki	kotiavustaja
ruovttušillju	kotikenttä
ruođat	muikku
ruoššagiella	venäjä
ruoššagáranas	harakka
ruoššanjuorju	grönlanninhylje
ruoššaskire	harakka
ruoššaállat	tunturikiuru
ruoššačuolbma	solmu
ruoŧagiella	ruotsi
ruoŧŧa	ruotsi
ruoŧŧelaš	ruotsalainen
ruoŧŧilaš	ruotsalainen
ruožža	pahus
ruppal	rupla
ruska	roska
ruskalihtti	roskakori
rusta	huuru
rusttet	rakennus
rutiidna	rutiini
ruvdno	kruunu
ruvdnu	kruunu
ruvdorássi	liekovarpio
ruvdu	rahnikko
ruvkedoaibma	kaivostoiminta
ruvki	kaivos
ruŋka	korppi
ruškesvuostá	kutojuusto
ruški	ruska
rušpi	porkkana
ruššu	hutilus
ružžu	rotko
rábbi	haaska
rábbi	raato
rábmot	pröystäillä
rábát	rapakko
ráddi	kekäle
rádjagidden	rajasulku
rádji	raja
rádjá	raja
rádná	kaveri
rádná	toveri
ráfi	rauha
rággi	suikale
ráhkadanneavva	resepti
ráhkaniibi	partaveitsi
ráhkesvuohta	rakkaus
ráhkisvuohta	rakkaus
ráhkku	rakko
ráhpa	rasvakerros
ráhppa	rappu
ráhppa	porras
ráhppá	portaat
ráhppá	rappu
ráhtte	suppilo
ráiddohas	raitomies
ráidi	raitio
ráidodállu	rivitalo
