абонементный	абонемента
карусель	карусель
карцер	чижовка
карьера	удж
касатка	чикыш
каска	каска
каскадёр	каскадёр
касса	касса
кассета	кассета
кассир	кассир
кастет	кастет
кастратор	кодзсьысь
катавасия	сьылӧм
катавасия	суматока
каталог	каталог
катание	исласьӧм
катание	ветлӧм
катар	мылӧд
катастрофа	торксьӧм
катафалк	катафалк
категоричность	чорыдлун
катер	катер
катет	катет
катод	катод
католик	католик
католичество	католичество
каторга	катарга
каторжанин	катаргаса
катушка	трубича
катыш	
каузальность	помкалун
каучук	каучук
кафе	кафе
кафедра	кафедра
кафель	кафель
кафетерий	кафетерий
кафтан	дукӧс
качание	довкйӧдлӧм
качание	шатлӧдлӧм
качание	лэптӧм
качание	качайтчӧм
качество	ногтуй
каша	рок
кашевар	пусьысь
кашемир	кашемир
кашка	бобӧнянь
кашлюн	кызысь
каштан	каштан
каюта	каюта
квадратура	квадратура
квакша	гоглач
квалификация	уджсикас
квартал	квартал
квартет	квартет
кварц	кварц
квас	ырӧш
квитанция	квитанция
квота	пай
квотирование	юклӧм
кедровка	перк
кекс	кекс
келья	келля
кенгуру	кенгуру
керамзит	керамзит
керосин	карасин
кета	кета
кетчуп	кетчуп
кефир	шомйӧв
кибернетика	кибернетика
кидание	койӧм
кила	йог
киловатт	киловатт
килограмм	килограмм
километр	километр
киль	коя
килька	килька
кинематика	кинематика
кинематограф	кинематограф
кинематография	кинематография
кинжал	кинжал
кино	
кино	
кино	
киноактриса	киноактриса
киноактёр	киноактёр
киноаппаратура	киноаппаратура
киножурнал	киножурнал
кинооператор	кинооператор
киноплёнка	киноплёнка
кинопрокат	кинопрокат
кинопромышленность	кинопромышленносьт
кинорежиссёр	кинорежиссёр
киносказка	киномойд
киностудия	киностудия
кинотеатр	кинотеатр
кинофестиваль	кинофестиваль
кинофильм	кинофильм
кинохроника	кинохроника
кипа	чукӧр
кипа	тюк
кипарис	кипарис
кираса	
кирза	кирза
кисель	рок
кисет	кӧшель
киска	кысук
кислица	шомкор
кислород	кислород
кислота	шом
кислотность	томлун
кислятина	
кисть	туг
кисть	роз
кит	кит
китель	китель
кишечник	сюв
кишка	сюв
кишка	шланг
клавесин	клавесин
клавиатура	поньтӧдъяс
клавиш	поньтӧд
клад	клад
кладезь	ӧшмӧс
кладка	вайӧм
кладка	тэчас
кладовка	чулан
кладчик	тэчысь
кларнет	кларнет
класс	класс
класс	тшупӧд
классик	классик
клевер	бобӧнянь
клей	лем
клеймо	чокан
клейстер	клестер
клекот	турзӧм
клепание	клепайтӧм
клетка	клетка
клетка	жыр
клетка	кар
клетчатка	клетчатка
клеть	жыр
клеёнка	клеёнка
клизма	клизма
климакс	климакс
климатолог	климатолог
клин	тув
клин	кокад
клиника	клиника
клич	горӧдӧм
кличка	ним
клише	
клише	клише
клозет	асмогасянін
клок	тылым
клоп	лудік
клубок	тупыль
клубок	чакыль
клумба	клумба
клык	водзир
клык	урпинь
клюв	ныр
клюква	турипув
ключица	
ключица	вотшлы
клякса	лякӧс
кляп	калябеч
кляузник	суклясьысь
кляча	вӧвшой
клёв	босьтӧм
клён	клён
клёпка	
клёпка	клепайтӧм
клёш	клёш
кнопка	кизь
кнут	орс
княжение	ӧксыалӧм
княженика	
княженика	сьӧлаоз
княжество	ӧксыув
коагуляция	
коагуляция	едмӧм
коагуляция	чорзьӧм
коалиция	ӧтувтчӧм
кобура	пуртӧс
кобыла	кӧбыла
коваль	дорччысь
ковка	дорӧм
ковка	дорччӧм
ковчег	куд
ковёр	ковёр
код	код
кодирование	кодируйтӧм
кодировщик	кодируйтысь
кожух	пась
коза	кӧза
козлёнок	кӧзапи
козон	шег
козырь	кӧзыр
козырёк	лэб
козёл	кокша
койка	койка
койне	койне
коклюшка	дзоль
кокора	вужля
кокс	кокс
коксование	коксуйтӧм
колба	колба
колбаса	калбас
колдобина	
колдовство	кидтысьӧм
колдун	смилитчысь
колебание	вежласьӧм
коленкор	калинкор
колено	пидзӧс
колено	юкӧн
колено	виччысьтӧмтор
колер	рӧм
колировка	бурмӧдӧм
колледж	колледж
коллективизация	ӧтувтӧм
коллективизм	ӧтувлун
коллективность	ӧтувъялун
коллективность	чукӧралун
коловращение	
коловращение	вабергач
колодка	юр
колодка	тас
колокол	жыннян
колокольня	кӧлӧкӧльнича
колониализм	колониализм
колония	колония
колос	шеп
колосс	
колотушка	тотшкӧдчан
колотушка	мыжык
колхоз	колхоз
колыбель	чужанін
колыхание	едъялӧм
кольраби	кольраби
кольцевание	
кольцо	чунькытш
кольцо	чикыль
кольцо	кольча
коляска	коляска
команда	команда
команда	котыр
команда	веськӧдлӧм
командир	командир
командировка	командировка
командование	веськӧдлӧм
командование	веськӧдлысьяс
комар	ном
комарник	кукыль
комбайн	комбайн
комбайнёр	комбайнёр
комбикорм	комбикӧрым
комбинат	комбинат
комбинация	мутлуйтчӧм
комбинезон	комбинезон
комендант	комендант
комендатура	комендатура
комиссар	комиссар
комиссариат	комиссариат
комитет	комитет
комичность	тешкодьлун
комментирование	гӧгӧрвоӧдӧм
коммуна	коммуна
коммунизм	коммунизм
коммуникация	туйяс
коммунист	коммунист
коммутатор	коммутатор
комод	камод
комок	
компактность	топыдлун
компаньон	ёрт
компетенция	
комплектация	чукӧртӧм
композиция	тэчас
компот	компот
компрессия	топӧдӧм
компьютер	компьютер
комсомол	комсомол
комсомолец	комсомолеч
комсомолка	комсомолка
комсорг	комсорг
конвейер	конвейер
конверт	конверт
конвой	конвой
конгломерат	ӧтгудыр
конгруэнтность	ӧткодьлун
конденсация	
кондитер	кондитер
кондиция	
кондуктор	кондуктор
конец	пом
конец	йыв
конец	пома
конкретность	стӧчлун
конкурс	конкурс
конопатка	сюялӧм
конопля	пыш
коноплянка	пышкай
консалтинг	туйдӧдӧм
консервант	консервант
консерватория	консерватория
консервирование	консервируйтӧм
консигнация	
консистенция	суклун
консонанс	мылалун
конспект	конспект
конспектирование	конспектируйтӧм
консул	консул
консульство	консульство
контейнер	контейнер
контекст	контекст
контингент	урчитӧм
континент	континент
контора	контора
контрабанда	
контрабас	контрабас
контрактация	
контроль	контроль
контроль	ыджыдлун
контрреволюционер	контрреволюционер
конус	конус
конференция	конференция
конфета	кампет
конфискация	мырддьӧм
конфорка	кампорка
конфуз	мугыр
концентрация	озырмӧдӧм
концепция	
концерт	концерт
концессия	
концлагерь	концлагер
кончина	кувсьӧм
конъектура	чайтӧм
конь	вӧв
конь	кокша
коньяк	коньяк
конюх	конюк
конёк	ӧклупень
кооператив	кооператив
кооператив	вузасянін
кооперация	кооперация
кооперация	вузасянін
координата	координат
координата	оланін
копирование	копируйтӧм
копировщик	копируйтчысь
копия	копия
копка	перйӧм
копка	корсьӧм
копна	юр
копна	порсь
коптилка	дзузган
коптилка	
коптильня	тшынӧдчанін
коптильщик	тшынӧдчысь
копуляция	ӧтлаасьӧм
копчение	тшынӧдӧм
копчик	виклеч
копыто	гыж
копьё	шы
кора	кырсь
корабль	караб
коралл	коралл
кордон	су
коренастость	латшкӧслун
корень	вуж
корень	вуж
корень	подув
коржик	коржик
корзина	кӧрзина
корзинка	кӧрзинка
коридор	коридор
корка	кыш
корка	корка
корм	вердӧм
корма	бӧж
кормилица	
кормилица	нёньӧдчысь
кормило	
кормление	нёньӧдӧм
кормчий	бӧжалысь
кормёжка	вердчанін
короб	
коробочка	поз
короед	пучӧй
королева	ферзь
королевство	королевство
король	король
король	туз
коромысло	карнан
коромысло	жаравеч
корона	юртас
коронование	юртасалӧм
короткость	дженьыдлун
корпус	чукӧр
корреспондент	корреспондент
корреспонденция	письмӧяс
кортеж	кортеж
корчага	гырнич
коршун	варыш
корысть	горшлун
корыто	вор
корь	ляті
коряга	вужля
косеканс	косеканс
косец	ытшкысь
косинус	косинус
косица	
косметика	мичмӧдчӧм
космонавт	космонавт
космос	космос
косолапость	укшальлун
костра	сюв
костыль	кӧстыль
костыль	тув
кость	моль
костюм	костюм
костюм	паськӧм
костяк	лысьӧм
костяника	намыр
костяшка	
котангенс	котангенс
котелок	юр
котенок	каньпи
котик	
котлета	котлет
котёл	пӧрт
кофта	ковта
кочегарка	ломтысянін
кочка	вутш
кошева	кӧшӧва
кошель	кӧшель
кошенина	
кошенина	вӧвдӧм
кошенина	
кошмар	
кошт	кошта
кошёлка	кӧрзина
кощей	кощей
кощей	скупердяй
кощунство	смекайтчӧм
коэффициент	коэффициент
краешек	
краешек	дорйыв
край	ин
край	край
крапива	петшӧр
крапивник	петшӧраин
крапивница	наля
крапина	чут
красавец	мича
красавица	мича
красильня	мичӧдчанін
красильщик	мичӧдчысь
красноармеец	красноармееч
краснофлотец	краснофлотеч
краснуха	наля
красота	
красочность	яръюгыдлун
краткость	дженьыдлун
кратность	юксьӧм
кратность	пӧвсталун
крах	пасьмунӧм
крахмаление	крахмалитӧм
кредо	
крейсер	крейсер
крекинг	
крем	крем
кремень	скупердяй
кремнезём	кремнезём
крен	кежӧм
крендель	
крепдешин	крепдешин
крепёж	кутӧд
кресало	тывкӧрт
кресло	креслӧ
крест	пернапас
крест	
крест	крестӧн
крестик	пас
кречет	варыш
крещение	
кривда	лӧж
крикун	
критицизм	
кровать	крӧвать
кровельщик	вевттьысьысь
кровля	вевт
кровоподтёк	шаныш
кровоточивость	
кровь	сям
кроение	шӧралӧм
крокодил	крокодил
кролик	кролик
крольчонок	кроликпи
кромка	дор
кромка	дорыш
кропильница	
кропильница	
крот	
кротость	рамлун
крохаль	косысь
крошечка	
кругляк	
кругооборот	бергӧдчӧм
кружево	прӧшви
кружка	кружка
кружок	кружок
круиз	круиз
крупа	шыдӧс
крупа	катшашыдӧс
крупинка	чир
крупинка	войт
крупность	ыджда
крутогор	кыркӧтш
крутость	зӧмлун
кручина	шог
крушина	ошсэтӧр
крушинник	ошсэтӧраин
крыжовник	крыжовник
крыло	борд
крыло	бок
крыло	юкӧн
крыльцо	кильчӧ
крыса	крыса
крысёнок	крысапи
крыша	вевт
крышка	
крюк	крук
крючкотвор	дзугысь
крючкотворство	дзугӧм
крючок	крук
крючок	вугыр
крючок	крючок
крючок	калич
кряж	нӧрыс
кряканье	ыксӧм
кряква	горда
ксенофобия	
ксерография	ксерография
ксерокопия	ксерокопия
ксерокс	ксерокс
куафёр	шырсьысь
кубатура	ыджда
кубок	кубок
кубометр	кубометр
кувшин	кувшин
кузнец	дорччысь
кузница	доранін
кузов	кузов
кукареканье	чуксасьӧм
кукла	акань
кукуруза	кукуруза
кукушка	кӧк
кукушонок	кӧкпи
кукша	кеня
кулачество	кулакъяс
кулачьё	кулакъяс
кулебяка	черинянь
кулик	витульган
кулинария	кулинария
кулинария	сёян
культиватор	культиватор
культивирование	
культпоход	культпоход
культура	культура
кулёк	кулёк
кум	кум
кума	кума
кумач	кумач
кумирня	кевмысянін
кумовство	кумасьӧм
кумовство	пӧтачка
кумушка	суклясьысь
куница	тулан
купальница	купальнича
купальщик	купайтчысь
купание	купайтӧм
купе	купе
купец	купеч
купечество	купечьяс
куплет	куплет
купорос	купорос
кур	петук
кура	курӧг
кураж	
курган	мыльк
курево	
курево	тшынасян
курево	тшынас
курево	ру
курень	чом
курилка	куритчанін
курильщик	куритчысь
курок	курӧк
куропатка	байдӧг
курорт	курорт
курпей	
курс	курс
курсив	курсив
куртка	куртка
куртье	сёрнитчӧдысь
курчавость	читкыльлун
курьёзность	тешкодьлун
кусок	торпыриг
кусок	пома
кусок	юкӧн
кусок	пельӧс
куст	куст
кустарник	куст
кустарничество	вӧчасьӧм
кустарщина	
кутила	юысь
кутузка	дзескыдін
кутёнок	кычи
кухня	сёян
лабаз	кум
лабаз	лэбув
лабаз	тшамъя
лаборант	лаборант
лаборантка	лаборантка
лаванда	лаванда
лавина	
лавина	люзьгӧмӧн
лавочник	
лавочница	
лавр	лавр
лаг	
лагерь	лагер
лазутчик	разведчик
лайнер	лайнер
лак	лак
лакей	лакей
лакейство	лакеялӧм
лакировка	лак
лакмус	лакмус
лаконизм	дженьыдлун
лактация	лысьтандыр
лактация	нёньӧдчандыр
лампа	лампа
лампада	би
ландыш	ландыш
лапа	ки
лапа	лапа
лапотник	
лапоть	нинкӧм
лапта	
лапушка	
лапчатка	куимвужъятурун
лапша	лапша
ларь	йӧртӧд
ларь	
ларёк	вузасянін
ласковость	мелілун
ласточка	чикыш
лауреат	лауреат
лафет	подув
лачуга	керкашой
лгун	пӧръяч
лгунья	пӧръячка
лебеда	пӧттурун
лебедь	юсь
легион	легион
легитимация	
легкоатлет	легкоатлет
легкомысленность	кокнилун
лежание	куйлӧм
лежанка	куйланін
лежбище	куйлас
лежень	
лейборист	лейборист
лейкопластырь	лейкопластыр
лейтенант	лейтенант
лейтмотив	сюрӧс
лекарь	бурдӧдысь
лексема	торъякыв
лексика	кыввор
лексикон	кывчукӧр
лексикон	кыввор
лекция	лекция
лемма	лемма
ленивость	дышлун
лень	дыш
леопард	леопард
лепесток	сыр
лепетун	
лепетун	бызгун
лепёшка	лапӧ
лесенка	
лесина	
лесистость	вӧраин
лесонасаждение	
лесонасаждение	обычномн.ч.
лесопарк	вӧрпарк
лесопункт	вӧрпункт
леспромхоз	вӧрпромхоз
лесхоз	лесхоз
летание	лэбалӧм
лето	гожӧм
летун	
летун	палюр
летучесть	лэбаланлун
летучка	собрание
летучка	
лещ	ёді
лиана	лиана
либерал	либерал
либерализм	либерализм
либретто	
лидер	юрнуӧдысь
лизание	нюлӧм
лизание	нювсьӧм
ликвидатор	бырӧдысь
ликвидность	инанлун
ликование	радлӧм
ликоподий	кӧчвӧнь
ликёр	ликёр
лилия	запанки
лимон	лимон
лимфа	сӧз
линия	вежтас
линия	нырвизь
линкор	линкор
линование	визьйӧдлӧм
линовка	визьйӧдлӧм
линолеум	линолеум
линотип	линотип
линь	линь
лирик	лирик
листовка	листовка
листок	
лисёнок	ручпи
литера	шыпас
литота	ичӧтмӧдӧм
литр	литр
литьё	
лиф	лип
лифт	лифт
лифчик	лип
лихачество	
лихачество	удаллун
лицей	лицей
лицо	бан
лицо	морт
лицовка	банӧдӧм
личина	лапӧд
лишек	
лишение	мырддьӧм
лов	шедӧм
ловля	куталӧм
ловля	кыйсьӧм
ловушка	нальк
лог	сён
логарифм	логарифм
логика	логика
логика	нырвизь
логопед	логопед
лодка	пыж
лодочник	пыжа
лодырь	дышпоз
ложбинка	сёртас
ложечка	морӧспань
ложка	пань
лозина	
лозунг	лозунг
локализация	йӧршитӧм
локализация	инасьӧм
локальность	йӧршитӧм
локальность	инасьӧм
локатор	локатор
локомобиль	локомобиль
локомотив	локомотив
локоть	гырддза
локус	сулаланін
ломанье	чегъялӧм
ломанье	жуглӧм
ломбард	ломбард
ломка	чегъялӧм
ломка	жуглӧм
ломка	косялӧм
ломка	вежӧм
лоно	морӧс
лопата	зыр
лопотанье	ватолитӧм
лось	йӧра
лосёнок	йӧрапи
лотерея	лотерея
лото	лото
лоток	саран
лохань	лӧкань
лошадка	
лошадник	
лошадь	вӧв
луб	сі
лубок	кард
луг	видз
луда	луж
лузга	кыш
лука	чукыль
лукавинка	наянтор
луковица	
луковица	йиткыр
луна	тӧлысь
лунка	юкмӧс
луч	югӧр
лучение	кыбӧм
львенок	левпи
льготность	кокньӧдлун
льстивость	лесьтлун
любезность	вежливлун
любовность	тӧждлун
любовь	радейтӧм
люк	мур
люстра	люстра
лютеранство	лютеранство
лютик	купальнича
люцерна	люцерна
лягушка	лягуша
лягушонок	лягушапи
ляда	
ляжка	лядьвей
ляпис	ляпис
ляпсус	лӧсявтӧмтор
лёгкость	кыпыдлун
лёд	йи
лёжка	видзӧм
лёжка	
лён	
лён	шабді
лётчик	лётчик
мавзолей	мавзолей
магарыч	
магарыч	калым
магистр	магистр
магний	магний
магнит	магнит
магнитола	магнитола
магнитофон	магнитофон
мазанье	сёялӧм
мазка	мавтӧм
мазут	мазут
мазь	мазь
мазь	мавтас
майка	майка
майонез	майонез
майор	майор
мак	мак
макет	макет
маклерство	сёрнитчӧдӧм
макрокосмос	енкола
максимум	медуна
максимум	
макулатура	шыблас
макуха	чаз
макушка	йыв
малиновка	ӧмидзкай
малица	малича
малодушие	полӧм
малость	ичӧтлун
малость	
малыш	
малышка	
малышня	посниулов
мальчишество	кокниасьӧм
мамаша	
мамка	
мамонт	мамонт
манго	манго
мандолина	мандолина
манеж	манеж
манна	
мануфактура	мануфактура
мануфактура	фабрика
мара	
маразм	шӧпъялӧм
марание	лякӧм
марафет	
марафон	
марганец	марганеч
маренго	рудовсьӧд
маринад	маринад
маринование	маринуйтӧм
марионетка	акань
марионетка	кесйылӧг
маркер	пас
маркетри	
маркирование	пасъялӧм
маркировщик	пасъялысь
марля	марля
мармелад	мармелад
мародёр	маклак
мародёрство	мародёралӧм
мародёрство	маклачитӧм
маршал	маршал
маршировка	маршируйтӧм
маска	маска
маска	сайӧд
маскирование	сайӧдӧм
масло	вый
масло	мавтас
маслобойка	
маслянистость	выялун
масса	масса
массировка	
массовка	
мастер	мастер
мастер	вӧчасьысь
мастерство	уджсям
мастика	мастика
маститость	мывкыдлун
масштабность	ыджда
математик	математик
математика	математика
материализм	материализм
материалист	материалист
матерщина	матькӧм
матерщинник	матькысь
матерь	энь
матица	матич
матка	энь
матка	мам
матка	компас
матрос	матрос
матушка	нылӧ
матч	матч
мафиози	мафияса
мах	ӧвтыштӧм
махина	удоробье
махинация	маклачитӧм
маховик	махӧвик
махорка	макорка
мачта	шолга
машина	машина
машинизация	машинизируйтӧм
машинист	машинист
машинистка	печатайтчысь
машинка	машинка
маятник	кыв
мгла	ру
мгла	рӧмыд
медаль	медаль
медальон	медальон
медведь	ош
медвежонок	ошпи
медиатор	медиатор
медицина	медицина
медленность	надзлун
медлительность	ньӧжмыдлун
медсестра	медсестра
медуза	медуза
медуница	тӧзь
медь	ыргӧн
межбровье	кыксинкост
междуречье	кыкюкост
междурядье	кыквизькост
междуцарствие	сартӧмдыр
межеумок	кидӧс
межёвка	юксьӧм
мезга	ли
мел	мел
меланхолия	жугыльлун
мелкота	поснитор
мелодика	шылад
мелодичность	мылалун
мелодрама	мелодрама
мелочность	артасьӧм
мелочь	
мельница	изанін
мелюзга	
мембрана	мембрана
менеджер	
мензурка	мензурка
менталитет	
ментол	ментол
мера	муртӧс
мера	туй
мерзость	
мерзость	зывӧклун
меридиан	меридиан
мерило	муртас
мерка	мурталӧм
мерка	муртӧг
мерность	торксьывтӧмлун
мертвечина	мерлина
мертвечина	дудандыр
мерёжа	ветель
месиво	
месиво	гудрас
местком	местком
местность	ин
местожительство	оланін
местоимение	нимвежтас
местоположение	сулаланін
местопребывание	оланін
месторождение	чужанін
месячник	тӧлысьдыр
металлопромышленность	металлопромышленносьт
металлург	металлург
металлургия	металлургия
метаморфоза	
метатеза	вешйӧм
метатель	чӧвтысь
метафизик	метафизик
метафизика	метафизика
метель	турӧб
метение	чышкӧм
метеорит	енэжиз
метизация	кидусалӧм
метина	пас
метис	кидус
метка	пас
метод	ног
метонимия	вуджним
метро	метро
метрополитен	метрополитен
механизатор	механизатор
механизация	механизируйтӧм
механизм	
механизм	механизм
механизм	машина
механик	механик
механика	механика
меч	шыпурт
мечтатель	мӧвпалысь
мешанина	гудрас
мешанка	
мешкотность	ньӧжмыдлун
мещанство	мещана
мзда	
мигание	синмасьӧм
мигание	ыпъялӧм
миграция	
мизгирь	черань
микроб	микроб
микрон	микрон
микроскоп	микроскоп
микроскопия	микроскопия
микрофильм	микрофильм
микрофон	микрофон
милиционер	милиционер
милиция	милиция
милиция	милиционеръяс
миллиметр	миллиметр
милостыня	милӧстина
милость	бурлун
милочка	
мимоза	мимоза
мимоза	тшаппоз
миндалина	миндалина
миндаль	
минерал	доніз
миниатюризация	ичӧтмӧдӧм
минимализм	медэтша
минимум	
минимум	
минимум	медічӧт
министр	министр
миномётчик	миномётчик
миноносец	миноносеч
минтай	минтай
минус	чинтыны
минус	тырмытӧмтор
минута	минут
минута	
мировоззрение	мӧвпсям
миска	тасьті
миссия	миссия
мистраль	войтӧв
митинг	митинг
митрополит	митрополит
митрополия	митрополитув
миф	миф
миф	мойд
мичман	мичман
мишка	ош
младость	томлун
мних	манак
многогранник	унабок
многогранность	унапӧлӧслун
многолюдье	суйим
многоугольник	унасэрӧг
многочлен	унашлен
множественность	уналун
множимое	босьтӧй
множитель	босьтысь
мобилизация	зэвтӧм
могила	
могильщик	гуалысь
могущественность	вынйӧр
мода	мода
модальность	модальносьт
модистка	
модистка	вурсьысь
модификация	
модник	тшапитчысь
модуль	модуль
можжевельник	тусяпу
мозаика	мозаика
мозаичность	ӧтгудырлун
мозг	вем
мозг	вежӧр
мокрица	нявда
молекула	молекула
моление	
моление	юрбитӧм
молитва	
молитва	юрбитӧм
молитва	буркыв
моллюск	лёльӧ
молниеотвод	чардкут
молодица	ичмонь
молодка	
молодка	
молодняк	
молодняк	томулов
молодчик	зон
молодь	
молозиво	чӧжйӧв
молоко	йӧв
молоко	сӧз
молокосос	зырымбедь
молот	мӧлӧт
молотильщик	вартысь
молоток	мӧлӧт
молочай	йӧлатурун
молчаливость	чӧвлун
мольба	
мольба	буркыв
момент	ком
монархия	монархия
монастырь	манастыр
монах	манак
монахиня	манакиня
монашество	манакалӧм
монашество	манакъяс
монета	сьӧмпас
монография	монография
монолитность	ӧтторъялун
монополизация	монополизируйтӧм
монополист	монополист
монтирование	тэчӧм
монтёр	
монтёр	электромонтёр
мор	
мор	пӧрӧс
море	саридз
морение	тшыгйӧдӧм
морж	морж
мороженое	лымвый
мороз	кӧдзыд
морозильник	кӧдзӧданін
морось	сибус
морошка	мырпом
морфей	ун
морфема	морфема
морфология	морфология
морщина	чукыр
моряк	моряк
мост	пос
мост	йитӧд
мост	посводз
мостик	сулаланін
моталка	таб
мотивировка	подулалӧм
мотовило	ректан
мотовоз	мотовоз
мотовство	шердйысьӧм
мотор	мотор
моторист	моторист
мотороллер	мотороллер
мотоцикл	мотоцикл
мотыга	кокан
мотыжение	кокӧм
мох	нитш
моча	кудз
мочеиспускание	кудзасьӧм
мощность	вын
мощность	кызта
мощность	вынйӧр
мощь	
мощь	ёнлун
мрамор	мрамор
мудрствование	мудритӧм
мужество	повтӧмлун
мужик	крестьянин
мужик	верӧс
муза	ловби
музей	музей
мультфильм	мультфильм
мундир	мундир
мундштук	мундштук
мундштук	вомкӧрт
муравей	кодзувкот
мурашка	
мурашка	
мурло	
мусульманин	мусульманин
мусульманство	мусульманство
мутация	
мутовка	кольтан
мутовка	кортуг
муха	гут
мученичество	мучитчӧм
мыло	майтӧг
мыс	кокад
мысик	йыв
мысль	вежӧр
мышеловка	нальк
мышонок	шырпи
мышь	шыр
мыщелка	калич
мягкосердечность	бурлун
мягкость	небыдлун
мясистость	чиглун
мясо	яй
мясо	сьӧмӧс
мясоед	
мясопуст	
мята	исаньтурун
мятежник	мятежник
мятьё	няръялӧм
мятьё	песӧм
мяуканье	нявзӧм
мяч	мач
мёд	ма
мёрзлость	кынлун
набег	уськӧдчӧм
набивание	тыртӧм
набивка	асыкалӧм
набор	набор
наборщик	набирайтчысь
набухание	польдӧм
навага	навага
наваристость	нӧгыльлун
наведение	веськӧдӧм
навеска	дзиръялӧм
навеска	дзир
наводнение	тыртӧм
наводчик	наводчик
навоз	куйӧд
навозник	мӧссітувгаг
навозница	
навозница	куйӧдасяндыр
навой	
наволочка	эжӧд
навязывание	кӧвъялӧм
нагайка	нагайка
награждение	наградитӧм
нагрев	донӧдӧм
нагревание	доналӧм
нагрузка	сӧвтӧм
надбавка	содтӧд
надзиратель	надзиратель
надлом	туйдчӧдӧм
надоеда	дӧзмӧдчысь
надпил	туйдчӧмин
надрыв	косьыштӧм
надсечка	сёртас
надстройка	надстрӧйка
надувка	пӧльтӧм
наездник	верзьӧма
наждак	наждак
нажиг	сотӧм
название	ним
назначение	мог
назревание	ордӧм
наименование	нимпас
накал	доналӧм
накат	йирк
накат	накат
накачка	качайтӧм
накачка	пӧльтӧм
накидка	павгӧд
накипь	шактар
наклад	
наклёпка	клепайтӧмтор
наковальня	накӧвальня
накомарник	номдӧра
наличник	карниз
наличность	
налог	вот
наложение	пуктӧм
намол	изӧм
намолот	вартӧм
нанесение	мавтыштӧм
нанесение	вӧчӧм
нанизывание	пысавлӧм
напилок	напилок
наплав	таб
наплавка	сывдӧм
наплечник	ластавич
наплыв	виялӧм
наплыв	йӧг
наполнение	тыртӧм
наполнение	тырӧм
направление	веськӧдӧм
напрасность	весьшӧрлун
напряжение	топалӧм
напряжённость	личлэдзлытӧмлун
напуск	лэдзӧм
напыление	бусӧдӧм
напёрсток	чуньлыс
нарастание	ӧддзӧм
наращение	быдтӧм
нарзан	нарзан
наркомания	наркомания
наркотик	дикмӧдчантор
народность	йӧзӧтув
нарубка	лӧсас
нарядность	мичлун
нарядчик	
насадка	сам
насадка	сад
насвистывание	шутьлялӧм
население	овмӧдӧм
насест	сёр
насечка	пинь
насечка	пинялӧм
насилие	нӧйтӧм
насилие	мырдӧналӧм
наскок	
наскок	уськӧдчӧм
наследование	рӧдйӧм
наследство	
наследство	
наследство	казьтыланпом
насморк	насмука
насос	насос
наст	чарӧм
наставка	тор
наставник	юрнуӧдысь
настой	
настриг	шырӧм
наступление	зырсьӧм
наступление	наступайтӧм
насыпка	лэптӧм
насыщение	пӧткӧдӧм
насыщение	тыртӧм
насыщение	пӧтӧм
натиск	зырсьӧм
натурализм	натурализм
наука	наука
наука	велӧдӧм
нафталин	нафталин
находка	корсьӧмтор
нахождение	корсьӧм
нацевка	сюри
национальность	нация
нация	канму
начало	зачин
начальство	
начатие	
начатие	джынъялӧм
начинка	тыралӧм
начисление	
начисление	содтӧд
начёс	зуалӧм
нашатырь	нашатыр
нашествие	
нашивка	вурӧс
небо	рай
невежда	им.
невеста	невеста
невеста	гӧтырпу
невестка	кев
невзгода	шог
невидаль	аддзывтӧмтор
невинность	правлун
невиновность	мыжтӧмлун
невод	тыв
невропатология	невропатология
нега	
нега	красуйтчӧм
негатив	негатив
негация	соссьӧм
неделя	вежон
недобор	чукӧрмытӧм
недоброе	лёктор
недоброжелательство	лӧгалӧм
недоверчивость	эскытӧмлун
недопёсок	кыньпи
недостача	судзсьытӧм
недосуг	
недосуг	эштытӧм
недоуздок	дом
недружелюбие	лӧгалӧм
неестественность	пычкӧм
нежелательность	ковтӧмлун
незыблемость	зумыдлун
неизвестное	тӧдтӧмтор
неисправность	торксьӧм
нейрон	нейрон
нейрохирург	нейрохирург
нейрохирургия	нейрохирургия
неловкость	укшальлун
нелюдимость	кидлун
ненасытность	пӧтлытӧмлун
необходимость	коланлун
неодушевлённость	ловтӧмлун
неожиданность	виччысьтӧм
неосторожность	видзчысьтӧмлун
неотступность	личлэдзлытӧмлун
неотёсанность	лӧсавтӧм
неохота	
неохота	
непереходность	вуджтӧмлун
непонимание	гӧгӧрвотӧм
непосредственность	веськыдлун
непостоянство	вежласьӧм
неправда	
неправда	
неприличие	лёктор
непринуждённость	вӧйсасьтӧмлун
неприятель	лӧгалысь
неприятность	кажитчытӧм
непроходимость	:
неразумие	вежӧрттӧмлун
нерв	
нерв	вей
нерест	
нерест	кульмӧм
неровность	коставлӧм
несбыточность	збыльмытӧмлун
несгибаемость	куснясьтӧмлун
несение	нуӧм
несчастье	
нетель	ялавич
неточность	ӧшыбка
неудобство	лӧсьыдтӧм
неудовлетворённость	майышлун
неуклюжесть	укшальлун
неурядица	
неучтивость	вежавидзтӧмлун
нехорошее	лӧсьыдтӧмтор
нечисть	
неяркость	пемыдлун
нива	удж
нивелир	нивелир
нивелирование	нивелируйтӧм
нигилизм	
нигилизм	увтыртӧм
нигилист	нигилист
низание	пысавлӧм
низка	сыр
никчёмность	ковтӧмлун
нитка	сыр
нитроглицерин	нитроглицерин
нитченка	вӧрт
нить	
ниша	горс
