aakkosellinen	alfabehtalaš
piikkihai	hoahkka
piimä	loahppemielki
piimä	bipmi
piipunvarsi	veardi
piiri	biire
piiri	bire
piiri	birradat
piirre	sárggus
piirustus	tevnnet
piiska	spihčá
piispa	bisma
piispa	bispa
piispantarkastus	bismmáčoahkkin
piitimensaame	bihtánsámegiella
piki	rávrrabihkka
pikkuhousut	sisbuvssat
pikkukajava	skierru
pikkukajava	gádjit
pikkukiljuhanhi	gálbbenjunčuonjá
pikkukoskelo	goalsi
pikkukuovi	guškkástat
pikkulapsi	uhcamánná
pikkulapsi	unnamánná
pikkulintu	cizáš
pikkunieriä	njoavdnja
pikkunieriä	skiddu
pikkusisko	oappáš
pikkusisko	unnaoappáš
pikkusormi	čeŋkkeš
pikkutakki	geavla
pikkutuulenkala	sivla
pikkuvarvas	uhcagaccaš
pikkuvarvas	unnagaccaš
pikkuvarvas	čeŋkkeš
pikkuveli	vieljaš
pikkuveli	unnavieljaš
pilke	čuolahat
pilkka	bilku
pilkkaaja	bilkideaddji
pilkkasiipi	skoarra
pilkki	bilka
pilkku	rihkkun
pilttu	hiŋggal
pilvi	balva
pimennys	sevnnjodeapmi
pimeys	seavdnjatvuohta
pinne	bindda
pinta	aláš
piparit	bihpporgáhkku
piparkakku	bihpporgáhkku
pippuri	bihppor
pippuri	bihpar
pippuripihvi	bihpporbiffa
piru	biro
piru	fánen
piru	riehtis
pisama	čáihni
piste	čuokkis
pitkäperjantai	guhkesbearjadat
pitkäsiima	liidna
pitsa	pizza
pituus	guhkkodat
pituushyppy	guhkkodatnjuiken
pitäjä	suohkan
pizza	pizza
planeetta	planehta
pohja	vuođđu
pohja	bodni
pohjallinen	leastu
pohjallinen	cokkaldat
pohjankatinlieko	idni
pohjanpaju	sieđgaskierri
pohjantuomi	duopma
pohjanvariksenmarja	čuopmajas
pohjoinen	davvi
pohjoinen	nuorta
pohjoinen	nuorti
pohjoismaa	davviriika
pohjoisosa	davvioassi
pohjoispuoli	davábealle
pohjoissaame	davvisámegiella
pohjoissaamelainen	davvisápmi
poiju	boija
poika	bárdni
poika	gánda
poika	lunta
poikamies	boaresbárdni
poikamiesaika	bárdnivuohta
poikanen	bártnáš
poikanen	gánddaš
poikarukka	bártnehuoš
poikaserkku	vilbealle
poikaystävä	irgi
poikittaisharju	buolža
poikkeama	spiehkastat
poikkeus	spiehkastat
poikuus	bárdnivuohta
poimija	čoaggi
poimutus	duoraldat
poimutus	guobaldat
poissaolo	jávkan
poisto	geahpedus
poliisi	politiija
poliisi	boles
poliisi	poliisa
poliisialue	politiijaguovlu
poliitikko	politihkkár
poliitikko	politihkar
politiikka	politihkka
poljin	duolmmastat
polkaisu	duolmmastat
polku	luodda
polku	bálggis
polkupyörä	sihkkel
polkupyörä	sykkel
polttiainen	cihca
polttiainen	boldejaš
polttiainen	hihtat
polttiainen	hiđaš
polttoaine	boaldámuš
polttopuu	boaldenmuorra
polvi	buolva
polvi	čibbi
pommi	bomba
pommitus	bomben
porahdus	duhranas
porkkana	rušpi
pormestari	bormeašttir
poro	boazu
poroaita	gárdi
poroajo	heargevuodju
poroelinkeino	boazoealáhus
poroelo	eallu
poroerotus	rátkka
porohärkä	heargi
porokoira	boazobeana
porokylä	siida
porolaidunlautakunta	boazoguohtunlávdegoddi
poroluku	boazolohku
poromies	boazoalmmái
poromäärä	boazolohku
poronhoitaja	badjeolmmoš
poronhoitaja	boazoolmmoš
poronhoito	boazodoallu
poronhoito	boazodoalli
poronhoitoalue	boazodoalloguovlu
poronhoitohallinto	boazodoallohálddahus
poronhoitojohtokunta	boazodoallostivra
poronhoitokoulu	boazodoalloskuvla
poronhoitolaki	boazodoalloláhka
poronhoitopolitiikka	boazodoallopolitihkka
poronhoitopäällikkö	boazodoallohoavda
poronhoitosopimus	boazodoallošiehtadus
poronliha	bohccobiergu
poronomistaja	boazoeaiggát
poronomistaja	boazoisit
poronsarvi	bohccočoarvi
poropaimen	reaidnár
poropeukalo	roassu
poropoika	badjegánda
pororikas	boazorikkis
porosaamelainen	boazosápmelaš
porosaamelainen	badjeolmmoš
porosaamelainen	boazosápmi
porosaamelainen	badjesápmelaš
porotalous	badjedilli
porotilanne	boazodilli
porotokka	čora
porovaras	njalddán
porras	ráhppa
porsaanliha	spiinnebiergu
porsas	spiidni
portaat	boardda
portaat	tráhppá
portaat	ráhppá
portti	uksa
portti	poarta
porukka	gázzi
porvari	borgár
posio	boaššu
poski	muohtu
poski	nierra
poskihammas	máttabátni
poskipää	nierra
posti	poasta
posti	boasta
postiauto	poastabiila
postiauto	boastabiila
postilaatikko	poastaboksa
postimerkki	poastamearka
postimerkki	frimearka
postimerkki	boastamearka
potentiaali	potensiála
potilas	buohcci
potilas	pasieanta
potku	čievččastat
potkupyörä	čiekčansihkkel
pounu	bovdna
pouta	fiertu
povari	spoavár
povi	ohca
presidentti	presideanta
prikaati	brigáda
prinsessa	prinseassa
prinsessa	gonagasnieida
prinssi	gonagasbárdni
profeetta	profehta
professori	professor
profiili	profiila
projekti	prošeakta
projekti	projeakta
projektihakemus	prošeaktadoarjja
projektijohtaja	prošeaktajođiheaddji
projektiraha	prošeaktaruhta
pronssi	bronsa
proomu	prámá
prosentti	proseanta
prosessi	proseassa
prostituutio	prostitušuvdna
provinssi	provinsa
pröystäillä	rábmot
psykologi	psykologa
psykologia	psykologiija
pubi	pubba
pudas	buđis
puhdistus	buhtisteapmi
puhdistus	buhtástus
puhe	sáhka
puhe	sárdni
puhe	hálla
puhe	hállan
puhe	hupman
puheenaihe	sáhka
puheenjohtaja	ságadoalli
puheensorina	hupma
puheenvuoro	sáhkavuorru
puhekieli	hállangiella
puhelin	telefovdna
puhelinnumero	telefonnummir
puhemies	soagŋoolmmái
puhuja	hálli
puhuja	hubmi
puhveli	buffalo
puisto	párka
pujahtelija	suonjan
pukimet	gárvu
pukki	bohkká
pukki	girsa
puku	dreassa
pukuhuone	molssodanlatnja
pukukoppi	molssodanlatnja
pulkka	geres
pulkka	bulki
pulla	nisoláibi
pulla	bullá
pullistuma	jargŋa
pullo	bohtal
pullo	boahtal
pullukka	baggi
pullukka	dársi
pullukka	jarfi
pullukka	stumpu
pullukka	čilli
pulmankilainen	buolbmágaš
pulmunen	állat
pulpetti	pulta
pumppu	pumpa
punajalkaviklo	ruksesjuolčoavžžu
punamyyrä	ruksessealgi
punkki	širrá
punos	bonus
puntari	bismárra
puohde	geazaldat
puola	buolát
puolestapuhuja	hálli
puoli	bealli
puoli	bealle
puoli	beali
puolihame	vuolpu
puolikas	bealli
puolikko	bulet
puoliso	guoibmi
puoliso	beallelaš
puolitunti	diibmobealli
puolitunti	diibmobealle
puolivalmis	gaskan
puolivuosi	jahkebealli
puoliväli	gaskamuddu
puoliväli	beallemuddu
puolue	bellodat
puolue	bealládat
puolueellisuus	bealátvuohta
puolueettomuus	bealátkeahtesvuohta
puoluetoveri	bellodatustit
puolukka	jokŋa
puolustaja	bealušteaddji
puolustus	beloštus
puolustusministeri	suodjalusministtar
puomi	bumma
puoskari	guvllár
puoskari	buoskár
purje	borjjas
purjekangas	fárju
purjekangas	segelduvka
purjeneula	lábástat
purjetuuli	borjadat
purjetuuli	borjat
purkaus	russun
purkka	suoskangumme
purkki	stobe
puro	jogaš
puro	fielbmá
purotaimen	dápmot
purukumi	suoskangumme
purus	suoskkahat
pusero	busir
pussi	busse
pussi	seahkka
pussi	pusse
putka	butká
putki	bohcci
putkilo	bohccádat
puu	muorra
puukkovyö	niibeboagán
puukonnysä	gohči
puukonnysä	gulca
puupino	rámpa
puuro	suohkat
puuro	buvru
puuseppä	snihkkár
puutarha	šaddogárdi
puute	váilevašvuohta
puuydin	váimmus
pyhyys	bassivuohta
pyhä	bassi
pyhäinpäivä	hállemas
pykälä	bihttá
pykälä	paragráfa
pylly	bahta
pylly	čurti
pyrkimys	viggamuš
pyrstö	bađuš
pyssy	bissu
pytty	spánnja
pytty	eappir
pyy	bakku
pyydys	bivddus
pyyhe	sihkaldat
pyyhekumi	sihkkungumme
pyyhkäisy	sihkastat
pyynti	bivdu
pyyntialue	bivdoguovlu
pyyntietäisyys	bivdinmuddu
pyyntitapa	bivdinvuohki
pyyntiväline	reiskáhppi
pyyntö	bivdda
pyytäjä	bivdi
pyytäjä	dáhttu
pyökki	beaika
pyörre	jorri
pyörä	sihkkel
pyörä	juvla
pähkinä	niehtti
päivystys	fákta
päivä	beaivi
päiväjärjestys	čoahkkinortnet
päiväkirja	beaivegirji
päiväkoti	beaiveruoktu
päivällinen	mállásat
päivämäärä	beaivemearri
päivänseisaus	áigejorggáldat
päiväntasaaja	ekváhtor
pälvi	bievla
päre	beara
pärttyli	bárdebeaivi
pässi	vierca
pässinnahka	viercadat
pätkä	nalttas
pää	oaivi
pää	geahči
pääasia	váldoášši
päähaaste	váldohástalus
päähenkilö	váldoolmmoš
pääjohtaja	oaivehoavda
pääkallo	oaiveskálžu
pääkaupunki	oaivegávpot
pääkipu	oaivebávččas
pääkonttori	váldokantuvra
päälautakunta	váldolávdegoddi
päällikkö	hoavda
päällinen	bajildus
päällys	bajildus
päällyste	láibesuvli
päämaja	oaivegoartil
pääministeri	stáhtaministtar
pääministeri	stáhtaminister
päämäärä	ulbmil
päämäärä	váldoulbmil
pääoma	kapitála
pääoma	iežaskapitála
pääosa	váldooassi
pääsihteeri	váldočálli
pääsiäinen	beassážat
pääsiäisaatto	beassášlávvordat
pääsiäisaatto	beassášlávvardat
pääsiäisaatto	beassášruohtta
pääsiäisilta	beassášlávvordat
pääsiäisilta	beassášlávvardat
pääsiäisilta	beassášruohtta
pääsiäisloma	beassášluopmu
pääsiäismarkkina	beassášmárkan
pääsiäispäivä	beassášbeaivi
pääsiäisretki	beassášmátki
pääskynen	spálfu
pääskynen	beškkoš
pääsopimus	váldošiehtadus
päästäinen	vánddis
pääsy	beassan
pääsy	beassanláhki
pääsyy	váldosivva
pääsääntö	váldonjuolggadus
pääte	geažus
pääte	terminála
päätelmä	árvvoštallan
päätelmä	konklušuvdna
päätoimittaja	váldodoaimmaheaddji
päätoimittaja	redaktevra
päätyö	váldobargu
päätös	čovdojupmi
päätösehdotus	mearrádusevttohus
päätösvalta	mearridanváldi
pölinä	bohrra
pöllö	skuolfi
pöly	gavja
pöly	dopmu
pölyrätti	sahpaldat
pöykkyri	boŋkor
pöytä	beavdi
pöytäkirja	beavdegirji
pöytäliina	beavdeliidni
pöytäliina	duvka
pöytänen	beavddáš
raadanta	šliita
raaka	fádda
raamattu	biibbal
raamattu	rámmát
raamattu	biibal
raanu	rátnu
raapaisu	gaccastat
raapaisu	ruohkastat
raapaisujälki	ruohkahat
raape	faskkanas
raape	faskkohat
raate	njuohcu
raato	gorut
raato	rábbi
radio	rádio
rae	čuorpmas
raha	ruhta
rahasto	foanda
rahasumma	ruhtasubmi
rahatuki	ruhtadoarjja
rahinakeli	skoabádat
rahnikko	ruvdu
rahoittaja	ruhtadeaddji
rahoitus	ruhtadeapmi
railo	moarahat
raiskaus	veagalváldin
raita	sárggis
raito	ráidu
raitohärkä	ráidoheargi
raitomies	ráiddohas
raja	rádji
raja	rádjá
rajasulku	rádjagidden
rajoitin	duvdda
rajoitus	gáržžideapmi
rajoitus	oahci
rakenne	struktuvra
rakennus	visti
rakennus	rusttet
rakennus	huksehus
rakennuslupa	huksenlohpi
rakennustyö	huksenbargu
rakentaminen	huksen
rakentamislaki	huksenláhka
raketti	rakeahtta
rakkaus	ráhkisvuohta
rakkaus	ráhkesvuohta
rakko	ráhkku
rampa	rámbi
rangaistus	ráŋggáštus
rankkasade	šoaláhat
rannikko	riddu
rannikko	mearragáddi
rannikkoministeri	riddoministtar
rannikkoministeriö	riddodepartemeanta
rannikkoseutu	riddoguovlu
rannikkoturska	riddodorski
ranta	gáddi
rantahyönteinen	sahki
rantakivikko	gárgu
rantatörmä	mielli
rante	rántet
rapakko	rábát
raportti	raporta
rappu	tráhppá
rappu	ráhppa
rappu	ráhppá
rapu	reabbá
rasia	toassa
rasismi	rasisma
rasitukset	dávggut
rassi	rássa
rastas	rásttis
rasva	vuodja
rasvaevä	mealli
rasvakala	áhkacincu
rasvakala	rundierpmis
rasvakala	runčuksu
rata	luodda
rata	vuojáhat
ratkaisu	čoavddus
ratkaisu	čovdojupmi
ratsu	riidenheasta
sääskirauha	bálát
työrauha	spáitu
rauha	ráfi
rauha	ássu
rauhanen	ráksá
rauhansopimus	ráfišiehtadus
raukka	riehpu
raunio	bázahusat
rauta	ruovdi
rautatie	ruovdegeaidnu
rautatieasema	ruovdegeaidnostašuvdna
ravinto	biebmu
ravinto	borramuš
ravintola	restoráŋŋa
reaktio	reakšuvdna
referenssiryhmä	referánsajoavku
rehtori	rektor
rehu	fuođar
reidet	stovla
reikä	ráigi
reisilihakset	gassaváhkká
reitti	johtolat
reki	reahka
rekisteri	registtar
renessanssi	renesánsa
rengas	juvla
renki	reaŋga
rentukka	gollerássi
repliikki	replihkka
repolainen	riehpogállis
resepti	ráhkadanneavva
ressukka	njuolvi
ressukka	njuolvá
resurssi	resursa
retki	mohkki
retki	tuvra
retkikunta	ekspedišuvdna
reuma	leasmi
reumatauti	leasmi
reuna	ravda
revontuli	guovssahasat
riekko	rievssat
riekonmarja	rievssatmuorji
riekonmarja	gáranasmuorji
riekonpyynti	rievssatbivdu
rihveli	riffal
riikinraja	riikkarádji
riikinraja	riikkarádjá
riimukivi	riibmageađgi
riippa	buddu
riippulukko	heaŋgalohkka
riisi	risen
riisipuuro	risenbuvru
riisiryyni	krisensurbmi
riisiryyni	risenrievdna
riita	riidu
riita	nággu
riite	gavdda
riite	skavdda
riite	suossa
rikkaruoho	hilsku
rikkaus	riggodat
rikkaus	rikkisvuohta
rikki	rišša
rikollinen	vearrodahkki
rikos	vearredahku
rikos	rihkus
rinkeli	riŋggal
rinne	ceahkki
rinne	fielti
rinta	raddi
rinta	čižži
rintaevä	ákkilveaksi
rintakoru	solju
rintaläppä	raddeleahppi
rintaläppä	liehppá
rintama	rattuš
rippi	rihppa
rippijuhla	konfirmašuvdna
rippikoulu	rihppaskuvla
rippikoulu	báhpaskuvla
rippilapsi	rihppamánná
rippiläinen	konfirmánta
ripsiäinen	čámbokkal
ripsu	dutkán
ripuli	luhčadávda
ripuli	lužas
ripuli	čoalas
riski	riska
riskilä	čielkkis
risku	risku
risku	solju
risteys	ruossa
risti	ruossa
risti	rista
risti	luovvar
ristikko	ridda
ristiliina	ruossaliidni
ristiliina	šoalkaliidni
ristiluu	gánis
ristinusko	risttalašvuohta
ristiretki	ruossagárga
ristiriita	soahpameahttunvuohta
ristiriita	ruossalasvuohta
risukirves	ferkkon
ritari	riddár
rivi	ráidu
rivi	gurgadas
rivi	ráđđa
rivitalo	ráidodállu
roiskahdus	diškkanas
roiske	rišša
roiske	diškkas
rokka	mális
rokka	málli
rokki	rock
romaani	romána
romani	romána
romu	roahpi
romu	skruvtta
rooli	rolla
roska	ruska
roska	luotni
roska	roaski
roskakori	ruskalihtti
rosvo	rievvár
rotko	ružžu
rotu	rássa
rotu	nálas
rouva	roavvá
rovasti	proavás
rovasti	provsta
ruho	krohppa
ruhtinas	fursta
ruipelo	ruigu
ruipelo	šoaŋki
ruipelo	silan
ruis	rogaš
ruisleipä	rohkaláibi
rukki	dorte
rukous	rohkos
rumilus	roman
rumilus	romat
rumpu	rumbu
rumuus	fastodat
rumuus	ropmivuohta
rumuus	ropmodat
runko	riggi
runo	dikta
runo	rotnu
runoilija	diktár
runokirja	diktagirji
runous	poesiija
runous	dikten
ruoanlaittokurssi	málestangursa
ruode	goahtemuorra
ruoho	rássi
ruohokanukka	beatnatdaŋas
ruohokanukka	gáranasrássi
ruoka	biebmu
ruoka	borramuš
ruoka	máhta
ruokahalu	borranmiella
ruokahalu	borranlustu
ruokahuone	boradanlatnja
ruokahäät	málesheajat
ruokailu	borran
ruokailuastia	máleslihtti
ruokala	kantiidna
ruokalaji	reahtta
ruokalista	biebmolistu
ruokaministeriö	biebmodepartemeanta
ruokaparsa	aspárggus
ruokapöytä	borranbeavdi
ruokasipuli	lávki
ruokasula	duotka
ruokatauko	boradanboddu
ruokatauko	borranboddu
ruokavalio	diehtta
ruokintakatos	biebmanluokti
ruokki	hálka
ruoko	goalšu
ruoste	ruosta
ruoti	stielka
ruotsalainen	ruoŧŧelaš
ruotsalainen	ruoŧŧilaš
ruotsi	ruoŧagiella
rupeama	táhka
rupi	ruobbi
rupipää	ruobboaivi
rupla	ruppal
ruska	ruški
ruskolevä	stárrá
rusto	njuorggis
rutiini	rutiidna
rutto	roahttu
ruuanlaittokurssi	málestangursa
ruukku	ruhkku
ruumiinosa	rumašlahttu
ruumiinvamma	albmasuoigi
ruumis	rumaš
ruumis	liika
ruumisarkku	gistu
ruutu	ruvto
ruuvi	skruva
ruuvi	skruvva
ryhmä	joavku
ryhmätyö	joavkobargu
rykmentti	regimeanta
ryteikkö	rohtu
rytky	loamši
ryöppy	uđas
ryöppy	rišša
ryöppy	garggas
ryöppy	širra
ryöstö	rievvu
ryöväri	rievvár
rähisijä	jaman
räjähdys	bávkkanas
räkä	snuolga
räkänokka	baikačivga
räkänokka	snuolggár
räkänokka	snuolgá
räkättäjä	skeaikkan
räkätys	čahras
räntä	šlahtti
rätti	lurvu
räystäs	reastalas
räystäs	riestalas
rääpäle	rihca
rääsy	sohti
rääsyläinen	skoarri
räätäli	goarru
räätäli	skreaddár
röhkinä	snurkkas
rönsy	sárri
rötkäle	njaŋgaras
röyhkimys	snielut
röyhtäisy	reavgganas
saaja	oažžu
saakeli	sáhkel
saalis	sálaš
saalis	fitnet
saalis	álvu
saame	sápmi
saame	sámegiella
saamelainen	sápmi
saamelainen	sápmelaš
saamelaisasia	sámeášši
saamelaiskonventio	sámekonvenšuvdna
saamelaiskoulu	sámeskuvla
saamelaiskulttuuri	sámekultuvra
saamelaiskäräjät	sámediggi
saamelaislaki	sámeláhka
saamelaislapsi	sámemánná
saamelaisneuvosto	sámediggeráđđi
saamelaispoliitikko	sámepolitihkkár
saamelaispolitiikka	sámepolitihkka
saamelaispresidentti	sámediggepresideanta
saamelaisseura	sámesearvi
saamelaisuus	sámevuohta
saamelaisuus	sápmelašvuohta
saameministeri	sámeministtar
saamenkansa	sámeálbmot
saamenmaa	sápmi
saamenuori	sámenuorra
saameradio	sámerádio
saaminen	oažžun
saapas	stevvel
saapas	sáppat
saapuminen	boahtimuš
saari	suolu
saaristo	sullot
saaristo	suologuovlu
saarna	sárdni
saarnaaja	sárdnideaddji
saarni	suordna
saaste	nuoskkideapmi
saatana	sáhtán
saatava	ruhtaoažžun
saavi	sáve
saavutus	olahus
saavutus	jovssus
sadasosa	čuođádas
sade	arvi
sadeilma	arvedálki
sadeilma	čázadat
sadekuuro	arveoakti
sademetsä	arvevuovdi
sademäärä	arvemearri
sadevaatteet	arvebivttas
saha	sahá
sahapukki	saháreŋko
saippua	sáibu
saippua	sovppá
saippua	sáibbo
sairaala	buohcceviessu
sairaalloisuus	buohccivuohta
sairaanhoitaja	buohccedivššár
sairaanhoitaja	buohccidikšu
sairaanhoitaja	buozaheaddji
sairastaa	buohccát
sairastelija	buozan
sairastelu	skihpa
sairaus	buohcu
sakka	loahki
sakka	botnus
sakko	sáhkku
sakramentti	sakrameanta
saksa	duiskkagiella
saksalainen	duiskalaš
sakset	skárrit
sakset	skierat
salaatti	saláhta
salaisuus	čiegusvuohta
salama	álddagas
sali	sálla
sallimus	sállemuš
salmi	nuorri
salo	meahcci
salo	vuovdeguovlu
sammakko	cuoppu
sammakko	rihcit
sammakko	rihccecuoppu
sammal	sámil
sammal	seamul
sana	sátni
sanakirja	sátnegirji
sananlasku	sátnevájas
sananlasku	sátnelásku
sanasto	sátnerádju
sanavarasto	sátnevuorká
sanavartalo	mátta
sankari	sáŋgár
sanko	gieđbmi
sanoma	sáhka
sanomalehti	aviisa
sanomalehti	áviisa
sanonta	dajaldat
sanonta	dajahus
santalo	sándil
sapeli	sábel
sappi	sáhppi
saraheinä	njeahcet
sarana	gižaldat
sarja	ráidu
sarjakuva	govvaráidu
sarka	gákkis
sarventyvi	bákŋi
sarvet	čoarvvus
sarvi	čoarvi
sarvikuono	čoarvenjunni
sarvilusikka	čoarvebaste
sata	čuođi
satakieli	čuohtegiella
satakieli	čuohtegielaš
satakunta	čuohtenáre
satama	hápman
satama	hávdna
sateenkaari	arvedávgi
sateenkaari	bajándávgi
satelliitti	satellihta
satsausalue	vuoruhansuorgi
sattuma	soaittáhat
sattuma	soaitin
saukko	čeavrris
sauna	sávdni
sauva	soabbi
sauvoin	čuoibmi
savi	láirá
savipuoli	ribon
savu	suovva
savuke	sigareahtta
savuliha	suovasbiergu
savulihavoileipä	suovasbiergoláibi
sei	sáidi
seikka	ášši
seikka	čuokkis
seikkailu	fearán
seimi	krubbá
seinä	seaidni
seiska	čižeš
seita	sieidi
seiti	sáidi
sekamelska	mullju
sekamelska	njođahas
sekasorto	moivi
sekasotku	seahki
sekavuustila	seahki
sekoitus	segohus
sektio	sekšuvdna
sekunti	sekunda
selitys	čilgehus
selitys	čielggadus
selkä	sealgi
selkä	čielgi
selkäjänne	savosuotna
selkänoja	mieiggastat
selvennys	čielggadus
selvitys	guorahallan
selvitys	čielggadus
selvitystyö	čielggadeapmi
selvänäkijä	oaidni
seminaari	seminára
sentti	sente
senttimetri	sentimehter
seos	seaguhus
seppä	rávdi
serkku	oambealle
serkku	belá
servetti	servieahtta
seteli	seđel
setä	čeahci
setä	máhka
setä	eahki
seula	seavla
seula	seavli
seulaluu	skuoggir
seulaluu	skuoggun
seura	searvi
seuraaja	čuovvu
seuraaja	šattolaš
seurahuone	giliviessu
seurakunta	searvegoddi
seuratalo	giliviessu
seuraus	čuovvumuš
seurue	fárru
seurue	gázzi
seutu	guovlu
shampoo	vuoktašámpu
shampoo	šámpu
siankärsämö	guhkká
siankärsämö	biehtárguhkká
siankärsämö	biehtárrássi
siankärsämö	rullit
sianliha	spiinnebiergu
sianpuolukka	gáranasmuorji
side	čanas
sidos	čanus
sielu	siellu
siemen	siepman
sieni	guoppar
sieppuri	čeabetnávdi
signaali	signála
sihteeri	čálli
sihteeristö	čállingoddi
siika	čuovža
siiloheinä	siilosuoidni
siima	duorgu
siima	gárastat
siipi	soadji
siipi	soadjá
siirappi	sierát
siirappi	sirát
siirto	sirdin
siirtokunta	koloniija
siirtolainen	sirdolaš
siirtomaa	koloniija
siirtyminen	sirdin
siita	siida
siivilä	silli
siivoja	bassi
siivooja	čorgejeaddji
sija	sadji
sijainen	sadjásaš
sijainti	sajus
sika	spiidni
sikiö	heđen
sikolätti	ribat
sikuri	sihkor
silkki	silki
silkkihame	silkečuvla
silkkiliina	šoalkaliidni
silli	sallit
silli	sildi
silmu	urbi
silmä	čalbmi
silmäkulma	gulbmi
silmälasit	čalbmelásat
silmälasit	brillat
silmämuna	gáhkká
silmäripsi	čalbmeguolga
silmäterä	golláš
silta	šaldi
silta	rovvi
silta	sildi
simpukka	skálžu
sinappi	senet
sinetti	seaila
sinettisormus	sivnnát
sinettivaha	seaila
sinfonia	symfoniija
sinirinta	giellavealgu
sinkkanurkka	siŋkanurki
sinkki	siŋka
sinkku	boaresnieida
sipuli	lávki
sipulipihvi	lávkebiffa
sirppi	sirpe
sisar	oabbá
sisarenlapsi	muoŧŧal
sisilisko	steažžalakkis
sisko	oabbá
sisna	sisti
sisältö	sisdoallu
sisämaa	siseana
sisämaa	nanni
sisämaa	siseanan
sisäoppilaitos	internáhtta
sisävesi	sáivačáhci
sisävesikala	sáivačáhceguolli
sitaisu	garccastat
sitkaus	dávggasvuohta
sivu	siidu
sivujoki	oalgejohka
skootteri	mohtorgielká
skorpioni	skorpiovdna
sodankäynti	soahtan
sohva	soffá
soihtu	spáiddar
soitin	čuojanas
soittaja	čuojaheaddji
soitto	čuojaheapmi
sokea	sovkken
sokeri	sohkar
sokeritoppa	tohppa
sokeus	čuovggahisvuohta
solisti	solista
solmu	čuolbma
solu	sealla
sonni	burru
sonni	vuoksá
sonni	burrut
sonninmulli	bulle
sontaluukku	ihkkon
sooda	suvddá
sopeutuminen	heiveheapmi
sopimus	šiehtadus
sopimus	konvenšuvdna
sopimus	soahpamuš
sopimus	kontrákta
sopimus	ráđđedagat
sopuli	goddesáhpán
sorkkamätä	šlubbu
sorkkamätä	šlubbá
sorkkanahka	gacceš
sorkkanahka	gazzaš
sormi	suorbma
sormikas	suorpmahat
sormus	suorpmas
sorsa	čáhceloddi
sorsa	suorsá
sorto	vealaheapmi
sorvi	spárvabeaŋka
sosiaalidemokraatti	sosiálademokráhta
sosiaaliministeriö	fuolahusdepartemeanta
sosiaalipalvelu	sosiálabálvalus
sosialismi	sosialisma
sota	soahti
sotaretki	soahtemohkki
sotatoimi	soahtedoaibma
sotilas	soalddát
sotilas	militeara
sotku	dáški
sottapytty	duolvvár
sottapytty	durji
sottapytty	durján
sottapytty	ruivvan
sottapytty	sturji
soturi	solddát
sovellus	heivehus
sovitus	soabahus
spitaali	roašmevihki
spitaali	spihtáldávda
spitaalisuus	spihtálvuohta
staalo	stállu
stadion	stadiona
standardi	standárda
status	stáhtus
stereo	stereo
stereot	stereot
stipendi	stipeanda
stipendijärjestelmä	stipeandaortnet
strategia	strategiija
struktuuri	struktuvra
strutsi	struhcca
studio	studio
sudenkorento	skážas
suhde	gaskavuohta
suhina	šuvva
suhta	mearri
suihku	riššu
suihkutin	cirggon
suisto	njálmmádat
suka	čohkun
sukellusvene	čázevuolášfanas
sukka	suohkku
sukkahousut	suohkkobuvssat
sukkula	suhkkol
suklaa	šuhkoláda
suklaa	šuhkoláde
suklaa	šukkuláda
suklaakakku	šuhkoládagáhkku
suksi	sabet
suksisauva	soabbi
suku	sohka
suku	sohkagoddi
sukulainen	fuolki
sukunimi	goargu
sukunimi	sohkanamma
sukunimitys	fuolkevuođanamahus
sukupolvi	buolva
sukupolvi	sohkabuolva
sukupolvi	buolvadat
sukupuoli	sohkabealli
sukupuoli	sohkabealle
sukupuu	fuolkevuođatávval
sukupuutto	sohkajápmu
sulakala	sálteguolli
sulhanen	irgi
sulka	dolgi
sulkeuma	dahppagas
summa	submi
summa	summá
sumu	mierká
sunnuntai	sotnabeaivi
sunnuntaikoulu	sotnabeaiskuvla
suntio	sundi
suo	jeaggi
suoja	njáhcu
suojelu	suodjalus
suojelu	suodjaleapmi
suojelusuunnitelma	suodjalanplána
suokukko	rávgoš
suokukko	rovgoš
suola	sálti
suolalohi	sálteluossa
suolaus	sálten
suoli	čoalli
suolinkainen	gávdnjarakkis
suomalainen	suopmelaš
suomi	suomagiella
suonenveto	geasáhat
suonisäiekimppu	sárahat
suonsilmäke	gieva
suopunginheittäjä	njoarosteaddji
suopunki	suohpan
suopursu	guohcarássi
suopöllö	bumpaloddi
suopöllö	loađgu
suoritin	doaimmár
suoritin	prosessor
suoritus	čađaheapmi
suorituskyky	návccat
suosikki	idola
suosikki	oidot
suosio	oidojupmi
suositus	neavva
suppilo	kreakta
suppilo	ráhtte
suppusuu	curbmi
suppusuu	smuhčči
surkimus	skuordná
surma	jápmu
suru	moraš
survoin	njuvddán
susi	gumpe
susi	návdi
susi	ruomas
suu	njálbmi
suukko	cummá
suunnitelma	plána
suunnittelija	plánejeaddji
suunnittelu	plánen
suunnitteluprosessi	plánaproseassa
suunnittelutyö	plánabargu
suunnitteluviranomainen	plánaeiseváldi
suunta	guovlu
suuntapiirrin	mađđa
suuntaus	viggamuš
suuntaus	hálti
suunvääntäjä	venzzon
suure	sturrodat
suurkäräjät	stuorradiggi
suursukeltaja	goppalákču
suurus	suvrrus
suuruus	sturrodat
suvanto	savu
suvanto	savvon
suvi	giđđageassi
sydämentykytys	váibmogirddáhat
sydän	váibmu
sykkyrä	snárki
