абсолютнӧй	абсолютный
сьылысь	певчий
сьӧдкай	скворец
сьӧдӧб	чернота
сьӧдӧдӧмин	затемнение
сьӧкыдтор	трудность
сьӧлӧм	дух
сьӧлӧмлич	отрада
сэрӧг	захолустье
сэтшӧмтор	такое
сюжет	сюжет
сюзьпи	совёнок
сюн	ил
сюсьлун	находчивость
сюсьлун	зоркость
сюсьлун	мастерство
сям	склад
сямтӧмлун	бестактность
сямтӧмлун	бесхарактерность
сямтӧмлун	бестолковость
сяр	граната
сярган	трещотка
сярган	погремушка
сёрнитчан	согласительный
сёрнитчӧдысь	посредник
сёртас	русло
сёртас	долина
сі	усики
сі	прожилка
сійӧтор	то
сісьмӧмтор	гнильё
сӧвестнӧ	совестно
сӧвик	совик
сӧвмӧмлун	зрелость
сӧглас	согласованность
сӧстӧмлун	невинность
сӧстӧмлун	свежесть
таблетка	таблетка
табло	табло
тагӧс	порог
таз	таз
тайна	тайна
тайӧтор	это
такси	такси
тактика	тактика
талон	талон
тальыштлӧмин	след
танк	танк
танкист	танкист
тара	тара
тарантас	тарантас
таркнитӧм	встряска
татшӧмтор	такое
татшӧмтор	следующее
творчество	творчество
тезис	тезис
текст	текст
телевизор	телевизор
телеграмма	телеграмма
телеграфист	телеграфист
телепередача	телепередача
телескоп	телескоп
телестудия	телестудия
телетайп	телетайп
телефонист	телефонист
телефонистка	телефонистка
телефонограмма	телефонограмма
телецентр	телецентр
теля	оленёнок
телӧ	тело
телӧгрейка	телогрейка
тема	тема
темперамент	темперамент
температура	температура
теннис	теннис
теорема	теорема
теоретик	теоретик
тепловоз	тепловоз
теплоход	теплоход
терапевт	терапевт
термин	термин
термометр	термометр
термос	термос
терпливлун	терпеливость
террорист	террорист
тертука	тёрка
тесьт	тесть
техник	техник
техникум	техникум
технолог	технолог
технорук	технорук
тигрпи	тигрёнок
типография	типография
тир	тир
тираж	тираж
тирган	сверчок
тоин	пест
той	вошь
толь	толь
томлун	молодость
тонна	тонна
топаз	топаз
топограф	топограф
топыдлун	плотность
торт	торт
торшер	торшер
торъяланін	развилина
тост	тост
тотара	татары
тотарин	татарин
тоткун	брюзга
тош	борода
традиция	традиция
тракт	тракт
трактир	трактир
тракторист	тракторист
транзистор	транзистор
транзит	транзит
транспорт	транспорт
транспортёр	транспортёр
трансформатор	трансформатор
траншея	траншея
трасича	сорванец
траулер	траулер
тревога	тревога
треко	трико
трибуна	трибуна
тригонометрия	тригонометрия
триньӧ	колокольчик
тройка	тройка
трубича	катушка
трубича	ступица
трубка	рулон
труд	труд
труппа	труппа
трус	трус
трусик	трусики
трюм	трюм
трюмо	трюмо
трӧпилӧ	стропило
туалет	туалет
туг	бахрома
туган	крона
тужурка	тужурка
туйдчӧмин	надлом
туйныр	направление
туйпас	ориентировка
туйтӧмлун	негодность
тулуп	тулуп
тумба	тумба
тундра	тундра
туннель	туннель
тупича	колун
тупйӧд	пробка
тупкӧд	затемнение
тупыль	клубок
тупыль	завязь
турбаза	турбаза
туримоль	пион
турипи	журавлёнок
турник	турник
турнир	турнир
турыш	кошелёк
тутгум	купырь
туша	туша
туша	рост
туясьысь	следопыт
туясьысь	следователь
тшак	гриб
тшакаин	грибница
тшалӧк	пряжка
тшан	чан
тшаплун	жеманность
тшебер	былинка
тшупас	сруб
тшыкӧд	порча
тшын	дым
тшытшыбылка	вертихвостка
тшӧг	сочный
тшӧглун	тучность
тшӧглун	сочность
тшӧка	подбородок
тшӧктӧм	просьба
тшӧктӧм	приглашение
тшӧктӧм	предписание
тшӧктӧм	приказ
тшӧкыдлун	густота
тшӧт	чёт
тшӧтшамас	приплюснутый
тшӧтшамӧс	приплюснутый
тшӧть	щетина
тшӧті	счёты
тывкӧрт	огниво
тыдӧс	вид
тыл	тыл
тылым	клок
тыралантор	начинка
тырманлун	достаток
тьӧт	мачеха
тьӧща	тёща
тэчас	омёт
тэчасног	устройство
тюк	тюк
тюни	валенки
тюрзан	свисток
тюрик	катушка
тюрик	каток
тівк	толчок
тільгун	колокольчик
тірӧб	дрожь
тӧб	моток
тӧвдӧра	парус
тӧвъянін	зимовье
тӧдлытӧмтор	неожиданность
тӧдмӧс	признак
тӧдтӧмлун	загадочность
тӧдтӧмлун	неизвестность
тӧдтӧмлун	неведение
тӧдӧмлун	знание
тӧлктӧмтор	безумство
тӧлысся	месячный
тӧлысся	менструация
тӧлысь	месяц
тӧрг	торги
тӧрича	торица
тӧрӧг	торос
тӧрӧкан	таракан
тӧщӧин	пустота
уваль	увалень
увпыш	посконь
увт	подошва
угоддьӧ	угодье
удаллун	проворство
удача	удача
удача	умение
уджалӧм	занятие
уджачлун	трудолюбие
уджйӧзтор	должок
уджмог	обязанность
уджтор	дельце
уджтӧмалысь	безработный
уезд	уезд
ужпи	жеребчик
ужпинь	спорынья
ужын	ужин
узор	узор
узьмӧдчанін	ночлег
узьӧм	ночлег
узьӧм	спячка
уйт	пойма
уйтырлун	подлость
указ	указ
укват	ухват
укшальлун	слабость
улей	улей
улим	слизь
улислун	сочность
улислун	тучность
улича	улица
ульлун	влажность
ультиматум	ультиматум
унапӧлӧслун	многообразие
унатор	многое
универмаг	универмаг
унпур	соня
управа	управа
урадник	урядник
урма	шайка
урна	урна
уровень	уровень
урожай	урожай
урок	урок
урон	урон
урпи	бельчонок
урпинь	клык
уртшак	сыроежка
усадьба	усадьба
уселон	заключённый
уселон	осуждённый
уселон	лагерник
условие	условие
услуга	услуга
устор	усики
уступка	уступка
усюр	надзор
уткапи	утёнок
утюг	утюг
утіча	подсанки
училище	училище
учёт	учёт
ушат	ушат
ушкуй	ушкуй
уянін	брод
фабрика	фабрика
фабрикант	фабрикант
факультет	факультет
фельетон	фельетон
ферма	ферма
фигура	фигура
физик	физик
физкультурник	физкультурник
филолог	филолог
философ	философ
фильм	фильм
фильтр	фильтр
фокус	фокус
фонтан	фонтан
фотография	фотография
фрак	фрак
фрукты	фрукты
фуражка	фуражка
футляр	футляр
фуфайка	фуфайка
халат	халат
харей	хорей
химик	химик
хирург	хирург
хлопок	хлопок
ходатайство	ходатайство
хозрасчёт	хозрасчёт
хромка	хромка
хроника	хроника
художество	художество
хутор	хутор
центнер	центнер
цивилизация	цивилизация
цинга	цинга
цинк	цинк
циркуль	циркуль
цитата	цитата
циферблат	циферблат
чабыр	кулак
чавканпи	галчонок
чаг	щепка
чага	чага
чаз	жмыхи
чайник	чайник
чалма	чалма
чальпас	копыто
чап	кичига
чапура	черпалка
чард	молния
чардак	чердак
чарла	серп
чарӧм	наст
часовня	часовня
чассьӧ	счастье
чахотка	чахотка
чача	безделушка
чашкалӧмин	расщеп
чекист	чекист
чемодан	чемодан
чепӧльтӧс	клещи
черань	паук
чернила	чернила
чертёж	чертёж
чесьт	честь
четверг	четверг
четверть	четверть
чечуль	ломоть
чибӧ	жеребёнок
чиганпи	цыганёнок
чигарка	цигарка
чиглун	аккуратность
чиглун	требовательность
чиглун	изысканность
чикыль	завязь
чикысь	коса
чикыш	ласточка
чин	чин
чипанпи	цыплёнок
чипсан	свистулька
чирзас	гримаса
чирук	кукиш
чита	изморозь
чишкасьӧмтор	паленина
член	член
чокан	чекан
чокан	клеймо
чокыр	мерин
чолка	чёлка
чом	шалаш
чом	конура
чувки	чулки
чужанвуж	род
чужанвуж	предки
чужанлун	всхожесть
чужанін	месторождение
чужтас	ребёнок
чуйдӧс	объявление
чуклялун	косослойность
чуктӧс	прибыль
чукыльтанін	поворот
чукыльӧсь	волнистый
чукыр	сгиб
чукӧр	выводок
чукӧртанін	вместилище
чукӧртанін	свалка
чукӧртчӧм	съезд
чулкиюр	носки
чум	чум
чума	чума
чуньлыс	напёрсток
чусмӧмлун	тусклость
чутік	головастик
чышъян	платок
чӧвин	затишье
чӧвтӧд	намётка
чӧдлач	голубика
чӧжйӧв	молозиво
чӧлнӧк	челнок
чӧрс	веретено
чӧрс	ось
чӧрт	чёрт
чӧртпи	чертёнок
чӧскыдлун	вкус
чӧскӧдантор	приправа
чӧсмасянтор	лакомство
шаг	шаг
шадз	хворостина
шаланда	шаланда
шалаш	шалаш
шаньног	достоинство
шапка	шапка
шатин	хворостина
шатин	удилище
шахтёр	шахтёр
шашка	шашка
швейцар	швейцар
шедас	добыча
шедӧдӧмтор	достижение
шеп	колос
шер	град
шеф	шеф
шефство	шефство
шкап	шкаф
школа	школа
шлагбаум	шлагбаум
шлапӧ	лепёшка
шлачкан	хлопушка
шлея	шлея
шливки	сливки
шляпа	шляпа
шлём	шлем
шовинизм	шовинизм
шовинист	шовинист
шогмытӧмлун	негодность
шогсьытӧмлун	беспечность
шой	падаль
шойданник	оборванец
шойччӧг	отпуск
шомкор	щавель
шоммӧд	опара
шомпур	шомпол
шомшеп	головня
шондіюр	подсолнечник
шонтӧд	обогреватель
шпагат	шпагат
шпулька	шпулька
шрифт	шрифт
штабель	штабель
штамп	штамп
штукатурка	штукатурка
штурм	штурм
шуд	счастье
шудлун	счастье
шудтӧмлун	несчастье
шуйгин	левша
шум	шум
шурыдлун	проворство
шутка	шутка
шутёв	свист
шыаланног	звучание
шыдӧспом	крупинка
шыдӧстор	крупица
шыж	мокрота
шын	шина
шынель	шинель
шыпас	буква
шыпаскуд	букварь
шыпича	шиповник
шыпурт	меч
шыпурт	штык
шырпи	мышонок
шырсьысь	парикмахер
шырсянін	парикмахерская
шыш	вор
шыӧдчӧм	заявление
шыӧдчӧм	декларация
шӧрин	центр
щель	щель
щӧті	счёты
ыбкай	жаворонок
ыв	каркас
ыджыдалӧм	преобладание
ыджыдалӧм	предводительство
ыжнёнь	жимолость
ылна	даль
ынь	пламя
ыньби	пламя
ыръянлун	упрямство
ышлов	вздох
ышлов	дыхание
ыштӧд	соблазн
эбӧстӧмлун	бессилие
эволюция	эволюция
эгоизм	эгоизм
эгоист	эгоист
эжтас	горизонт
экземпляр	экземпляр
экипаж	экипаж
экономика	экономика
экран	экран
экскурсия	экскурсия
экспедиция	экспедиция
эксперимент	эксперимент
экспертиза	экспертиза
экспозиция	экспозиция
экспонат	экспонат
экспорт	экспорт
элеватор	элеватор
электрик	электрик
электрификация	электрификация
электричество	электричество
электромонтаж	электромонтаж
электромонтёр	электромонтёр
электропоезд	электропоезд
электропровод	электропровод
электросварщик	электросварщик
электростанция	электростанция
электроэнергия	электроэнергия
элемент	элемент
эмиграция	эмиграция
эмлун	наличие
эмтор	быль
энергия	энергия
энтузиазм	энтузиазм
энузиаст	энтузиаст
энька	свекровь
эньлов	женщина
эпиграф	эпиграф
эпизод	эпизод
эпитет	эпитет
эпоха	эпоха
эскадра	эскадра
эскадрилья	эскадрилья
эскадрон	эскадрон
эсканлун	доверительность
эсканпас	доверенность
эскӧданпас	удостоверение
эстафета	эстафета
эстетика	эстетика
этажерка	этажерка
этшаник	немного
этшатор	немногое
этюд	этюд
эшелон	эшелон
эштытӧмлун	занятость
юанін	водопой
юбиляр	юбиляр
ювелир	ювелир
югӧр	просвет
югӧр	зарево
юда	иуда
юкас	паёк
юква	уха
юкмӧс	прорубь
юков	пробор
юков	проход
юкталанін	водопой
юкӧдув	подраздел
юкӧдув	подотдел
юмовлун	сладость
юмор	юмор
юн	вьюн
юн	минога
юннат	юннат
юр	головка
юр	копна
юр	шляпка
юр	горлышко
юрбитанін	молельня
юрводз	козырёк
юрганног	звучание
юргез	канат
юрдзиб	макушка
юрисконсульт	юрисконсульт
юрист	юрист
юрйыв	подворотничок
юрйыв	купол
юрйыв	изголовье
юркар	столица
юркытш	венок
юркыш	капюшон
юрним	рубрика
юрпесан	головоломка
юрта	юрта
юртас	венец
юртыр	кокошник
юстиция	юстиция
юсь	лебедь
ютш	топляк
ютыр	партия
юшка	вьюшка
юӧрпас	повестка
юӧртӧм	объявление
ябыр	скворец
ягсер	волнушка
яд	яд
ядрӧ	ядро
якӧр	якорь
яндзим	смущение
ярманга	ярмарка
яровизация	яровизация
ясли	ясли
ячейка	ячейка
ёг	соринка
ёгтор	соринка
ёді	лещ
ёжпи	ежонок
ёкмыль	клуб
ёрд	суд
ёрд	клятва
ёрдысь	судья
ёркыв	проклятие
ёрт	товарищ
ёрт	напарник
ёртлун	дружба
ёсьлун	резкость
ёсьлун	бойкость
ӧбедня	обедня
ӧбида	обида
ӧдзӧстор	дверца
ӧднӧколка	одноколка
ӧдъялун	калорийность
ӧдъялун	жара
ӧдӧб	расторопность
ӧдӧб	порыв
ӧжын	долото
ӧзим	озимь
ӧзталысь	зажигающий
ӧзталысь	поджигающий
ӧключина	уключина
ӧкмыса	девятка
ӧмидз	малинник
ӧрешки	орехи
ӧслӧп	увалень
ӧслӧп	верзила
ӧтава	отава
ӧтвесьталун	равновесие
ӧтвет	ответ
ӧтвизь	шеренга
ӧтитор	одно
ӧтказ	отказ
ӧткалун	одиночество
ӧткодьлун	равенство
ӧткодьтор	общее
ӧтлаасянін	слияние
ӧтлаасянін	смычка
ӧтрӧстель	поросль
ӧтсяма	сходный
ӧтувлун	объединение
ӧтувтчӧм	союз
ӧтувъя	объединённый
ӧтувъялун	коллективность
ӧтчаяннӧйлун	отчаянность
ӧтъяин	площадка
ӧч	ягода
ӧшиньтор	оконце
ӧшым	декабрь
ӧшӧдчӧмин	навес
вит	пять
первой	первичный
первой	впервые
не	нет
нӧ	разве
бокладорсянь	сбоку
вевдорын	над
выйын	при
вӧсна	послелог
дыра	послелог
йылысь	послелог
йылысь	на
кежысь	забредший
кежысь	уклоняющийся
мысти	послелог
мысти	после
орд	род
помын	у
понда	послелог
понда	за
пыр	послелог
пытш	тля
ради	послелог
ради	за
серти	послелог
серти	для
сьӧрысь	послелог
ӧтсор	послелог
некод	некого
некутшӧма	никак
некысь	нигде
некысь	негде
некысянь	ниоткуда
некысянь	неоткуда
некыт	нигде
некыт	негде
некытчӧ	никуда
некытчӧ	некуда
некытчӧдз	никуда
эсымында	столько
абутӧмасьны	прибедняться
абутӧммӧдны	устранить
абутӧммӧдны	ликвидировать
авансируйтны	авансировать
авкнитны	крикнуть
агсавны	боронить
агсавны	бороновать
агсавны	пробороновать
агсавны	взборонить
агсавны	взбороновать
адгоршавны	заграбастать
аддзывлыны	наблюдать
аддзывны	насмотреться
аддзыны	найти
аддзӧдлыны	повидать
адресуйтны	адресовать
акайтны	ахать
акйӧдлыны	ухать
аклявны	мять
акнитны	ухнуть
активизируйтны	активизировать
аннулируйтны	аннулировать
апавны	вдыхать
аплодируйтны	аплодировать
арендуйтны	арендовать
арестуйтны	арестовать
арзыны	рычать
артассьыны	считаться
артасьны	считать
артмыны	удаться
артмыны	вырваться
артмыны	формироваться
артмӧдны	составить
артмӧдчыны	образоваться
асныравны	капризничать
аснырасьны	упрямиться
атакуйтны	атаковать
атшавны	запыхаться
бавгӧдчыны	растянуться
байкӧдны	качать
баллотируйтны	баллотировать
баллотируйтчыны	баллотироваться
балуйтӧдны	баловать
банйӧдчыны	нарумяниться
барствуйтны	барствовать
баруньӧавны	бездельничать
баръёвтны	косолапить
баръёвтны	заплетаться
барышничайтны	барышничать
батрачитны	батрачить
бездействуйтны	бездействовать
безобразничайтны	безобразничать
бергавны	толпиться
бергавны	витать
бергӧдлыштны	поворошить
бергӧдны	вывернуть
бергӧдны	развернуть
бергӧдны	отговорить
бергӧдны	взметать
бергӧдчавны	отворачиваться
бергӧдчыны	развернуться
бертны	клонить
бертовтны	свернуть
бертовтны	перекрутить
бертовтчыны	перевернуться
бертовтчыны	вывихнуться
бертыштны	выворотить
бертыштны	свергнуть
бертыштчыны	вывернуться
беситчыны	беситься
беспокоитчыны	волноваться
бетонавны	бетонировать
блёнӧдчыны	бренчать
бовзьӧдны	поплестись
божитчыны	божиться
боквывтчыны	стоптаться
боксуйтчыны	боксировать
болльӧдны	пузырить
боллясьны	пузыриться
болскакывны	хлюпать
болскысьны	бултыхаться
больӧдны	тараторить
больӧдчыны	лепетать
больӧдчыны	щебетать
бомбардируйтны	бомбардировать
бомбитны	бомбить
бонзьыны	измучиться
боргыны	журчать
боргыны	бормотать
бордйысьны	драться
борӧдчыны	бормотать
босьтавны	брать
босьтавны	запевать
босьтлыны	получать
босьтлыны	снимать
босьтлыны	запевать
босьтлыны	заливать
босьтны	набрать
босьтчыны	подняться
босьтчыны	развиться
босьтчыны	разойтись
босьтчыны	разгореться
босьтчӧдны	выделяться
ботсьыны	разболтаться
братайтчыны	брататься
бреньгыны	бренчать
бринькйӧдлыны	брякать
бринькнитны	брякнуть
бринькнитны	прыгнуть
бриньӧбтыны	брякнуть
бронируйтны	бронировать
бронӧбтыны	буркнуть
бротьйӧдлыны	пинать
брунгыны	бренчать
брунгыны	звенеть
брунӧдчыны	бренчать
брунӧдчыны	гудеть
брызжитны	брызгать
брызьйӧдлыны	разбрасывать
брызьйӧдлыны	выплёскивать
брызьнитны	брызнуть
брӧдитны	бродить
бувгыны	бушевать
бугритны	окопать
буждӧдны	вымыть
бузнитны	хлынуть
буксируйтны	буксировать
буксыны	трубить
буксыны	ухать
букшасьны	хмуриться
букӧстны	прогудеть
букӧстны	ухнуть
букӧстны	пробасить
булькйыны	булькать
булькӧдчыны	булькать
булькӧдчыны	плескаться
бульскакывны	хлюпать
бурасьны	успокоиться
бурасьӧдны	перемирить
бурдыштны	зажить
бурдӧдны	наладить
буритны	бурить
бурлачитны	распутничать
бурмыны	улучшиться
бурсины	благословить
бурӧдавны	перемирить
бушйысьны	драться
бушуйтны	бушевать
бушуйтчыны	свирепствовать
быгавны	увянуть
быгъяссьыны	мылиться
быгыльтны	перенести
быгӧртны	окаймить
быдмывлыны	родиться
быдмыны	разрастаться
быдмыны	дорасти
быдмыны	отрасти
быдтыны	нарастить
быдтыны	вывести
быликтыны	выплюнуть
быравлыны	переводиться
бырзьыны	брюзжать
бырӧдны	отменить
бырӧдны	гасить
бытшйӧдлыны	втыкать
бытшкыны	воткнуть
бытшкыны	сверлить
бытшкыштны	кольнуть
бытшлӧдлыны	прокалывать
бытшлӧдлыны	накалывать
бӧбасьны	дурачиться
бӧрдны	плакать
бӧрдӧдлыны	оплакивать
бӧрйӧдчыны	тягаться
бӧрнясьны	буксовать
бӧрыньтны	отбить
бӧрыньтны	отказаться
бӧрыньтчыштны	попятиться
бӧрӧздаӧссьыны	избороздиться
вазӧбтыны	откусить
ваймыны	гаснуть
ваймыны	постареть
вайӧдавны	приводить
вайӧдавны	пригонять
вайӧдны	привести
ваксьыны	хохотать
валитны	валить
валитны	привалить
валнитны	хлынуть
вальскыны	балагурить
валяйтны	накатать
валяйтсьыны	прокататься
валяйтчыны	валяться
варгыльтчыны	стоптаться
варгылясьны	шататься
варкакывны	потрескивать
варовитны	журчать
варскакывны	хрустеть
вартны	убить
вартны	прибить
вартсьыны	обмолачиваться
варччыны	походить
ватолитны	лепетать
ватшкыны	квакать
вашвидзны	улыбаться
вашъявны	улыбаться
ваявны	рожать
вевдыны	преобладать
вевсьӧдчыны	слиться
вевттьыны	облицевать
вевттьысьыштны	подёрнуться
вевттьыштны	прикрыть
вевттьыштны	подёрнуть
вегльӧдлыны	вилять
ведитны	справить
ведитчыны	вестись
вежвидзны	зеленеть
вежгыны	восхититься
веждыны	приесться
вежлавны	разнообразить
вежлавны	видоизменять
вежлалыштны	разнообразить
вежлалыштны	видоизменить
вежласьны	сменяться
вежласьны	колебаться
вежласьны	спрягаться
вежмасьны	перемежаться
вежмасьны	спорить
вежньӧдлыны	исковеркать
вежсьыны	смениться
вежсьыны	переодеться
вежсьыны	обменяться
вежсьыштны	видоизмениться
вежыньтны	скрестить
вежыньтны	сбить
вежыньтчыны	сбиться
вежӧртсьыны	предполагаться
вежӧсасьны	перегородиться
везъясьны	тянуться
векнявны	сточиться
векыштны	сдвинуть
векыштны	стиснуть
велавны	повадиться
велавны	присмотреться
велавсьыны	понять
велавсьыны	привыкать
венласьны	бороться
венласьны	соревноваться
веньявны	болтаться
веравны	зыбиться
вербуйтны	вербовать
вермасьны	сопротивляться
вермасьны	соперничать
вершитны	вершить
весавны	вылущить
весавны	отхаркиваться
весалыштны	почистить
весалыштны	пополоть
веситчыны	взвешиваться
веськавны	расправиться
веськавны	совпасть
веськӧдлывлыны	править
веськӧдны	обрушить
веськӧдны	переключить
веськӧдны	поправить
веськӧдчыны	опохмелиться
ветлывлыны	ездить
ветлыны	отлучиться
ветлыны	наездить
ветлӧдлыны	циркулировать
ветьӧкавны	подтереть
вечмасьны	кривляться
вешйыны	отойти
вешйыны	сбиться
вешйыны	передвинуться
вешкырасьны	плакать
вешкырасьны	гримасничать
вешкыртчыны	заплакать
вештавны	расплачиваться
вештыны	перенести
вештыны	возместить
вештысьны	расплатиться
вештыштны	отдёрнуть
взорвитны	взорвать
взорвитчыны	взорваться
взрывайтны	взрывать
взрывайтчыны	взрываться
видзаавны	приветствовать
видзаасьны	здороваться
видзны	использовать
видзны	исписать
видзсьыны	содержаться
видзчысьны	сдерживаться
видзыштны	поберечь
видзыштны	подержать
видзыштны	понянчить
видзыштны	попасти
видзӧдны	норовить
видзӧдны	подражать
видзӧдсьыны	смотреться
видзӧдсьыны	просматриваться
видзӧдчыны	норовить
видзӧдчыны	грозить
видлавны	анализировать
видлавсьыны	рассматриваться
видлавсьыны	слушаться
вижавны	желтеть
вижӧдны	зеленеть
визируйтны	визировать
визувтны	оплыть
визьйӧдлыны	исполосовать
вийсьыны	переживать
вильдыны	поскользнуться
вильдыны	выскользнуть
вильдӧдны	поскользнуться
вильсйӧдлыны	скользить
вильскӧбтыны	поскользнуться
винитчыны	согласиться
вины	омертвить
вины	донимать
вины	утолить
виньгыртны	голодать
виньдавны	давиться
виньдавны	захлёбываться
виртӧммыны	обескровиться
виртӧммӧдны	обескровить
висьлыны	переболеть
висьтавлыны	подсказывать
висьтавлыны	предсказывать
висьтавны	сообщить
висьтавны	подсказывать
висьтавны	указать
висьтавны	оповестить
висьтавны	провозгласить
висьтавны	произнести
висьтавны	гласить
висьтавны	толковать
висьтавны	предупредить
висьтавсьыны	говориться
висьтавсьыны	проговориться
висьтасьны	сказываться
вичмыны	достаться
виччысьны	грозить
виччысьны	требовать
вишкыны	всхлипывать
вишкыны	сипеть
вишнитны	всхлипнуть
виявны	сочиться
включитны	включить
воавны	прилетать
водзсасьны	противостоять
водны	залечь
водтӧдны	прибить
вожасьны	тяготеть
воймыны	потемнеть
войтыштны	капнуть
войтӧдлыны	закапать
войтӧдны	запятнать
волнуйтны	волновать
волывлыны	посещать
вольскыны	поскользнуться
вольсыштчыны	разрастись
вомавны	упрекнуть
вомасьны	пререкаться
вомлӧстны	скрестить
воны	дослужиться
воны	причитаться
воны	притечь
воны	прилететь
вооружитны	вооружить
вооружитчыны	вооружиться
вормӧдчыны	заговорить
ворсны	проиграть
ворссьыны	проиграть
ворссьыны	прогадать
воскавны	вощить
восны	блевать
воспитайтны	воспитать
воссьыны	вскрыться
восьтавны	отпирать
восьтавны	вскрывать
восьтыны	вскрыть
вочаавны	возразить
вочаӧдны	чокаться
вошлыны	теряться
вошны	тонуть
воштысьны	добраться
воюйтны	воевать
вувзьӧдчыны	броситься
вувзьӧдчыны	наброситься
вугравны	дремать
вуджравны	мелькать
вужйӧдны	укоренить
вужъясьны	укорениться
вузавлыны	продавать
вузасьны	торговать
вундавны	пилить
вундасьны	изрезаться
вундыны	вырезать
вундыны	отрезать
вундысьны	порезаться
вундыштны	надрезать
вундыштны	резнуть
вунласьны	забываться
вунӧдны	разучиться
вунӧдны	отвыкнуть
вунӧдчывны	забыться
вунӧдчыны	забыть
вушйӧдны	обесцветить
вывтіасьны	переусердствовать
выдайтны	выдать
выймитны	отбить
вылысмыны	подняться
вылыстӧммӧдны	обезжирить
выльдыны	возобновить
выльдыны	реставрировать
выльпӧлавны	пересмотреть
вынсявны	окрепнуть
выпишитчыны	выписаться
выступитны	выступить
вӧвны	оказаться
вӧвны	состояться
вӧдитчыны	эксплуатировать
вӧзйысьны	отпроситься
вӧйлыны	тонуть
вӧймыны	одичать
вӧйны	погрузиться
вӧйтны	затопить
вӧльдъявны	порошить
вӧляасьны	самовольничать
вӧрзьыны	вывихнуться
вӧрзьӧдны	вывихнуть
вӧрзьӧдны	разбередить
вӧрзьӧдны	потрясти
вӧрзьӧдны	надорвать
вӧрны	шевелиться
вӧрны	шататься
вӧрӧдны	трогать
вӧрӧдны	шевелить
вӧрӧдны	двигать
вӧрӧдны	красть
вӧрӧдны	тревожить
вӧснявны	убывать
вӧтлавны	удалять
вӧтлавны	выселять
вӧтлыны	погонять
вӧтлыны	удалить
вӧтлыны	выселить
вӧтлыны	отчислить
вӧтлысьны	гоняться
вӧтлысьны	преследовать
вӧтчыны	угнаться
вӧтчыны	следовать
вӧтӧдны	преследовать
вӧчавны	выделывать
вӧчасьны	кривляться
вӧчны	расчистить
вӧчны	разделать
вӧчны	составить
вӧчны	совершить
вӧчны	образовать
вӧчны	потрошить
гагнырасьны	сверлить
гаддьӧссьыны	пузыриться
гажмыштны	повеселеть
гажтӧмтчыны	бояться
гажӧдны	радовать
газуйтны	газовать
гальскыны	цокать
гаравсьыны	упоминаться
гарантируйтны	гарантировать
гартлыны	всколыхнуть
гартлӧдлыны	крутить
гартовтчыны	покрутиться
гартчыны	виться
гартчыны	извиваться
герчкыны	крякать
гетшкыны	квакать
гижасьны	переписываться
гижйӧдлыны	изрезать
гижнитны	царапнуть
гижны	записать
гижсьӧдны	подписать
гижъясьны	поцарапаться
гижӧдны	прописать
гильӧдчыны	щекотать
гипнотизируйтны	гипнотизировать
гирйыны	протирать
гирйысьны	придираться
гирскыны	шаркать
гирскыны	скрежетать
гирснитны	чиркнуть
гирчкыны	скрежетать
гирчкыны	придираться
гожводзавны	загорать
гольскыны	цокать
горзыны	стонать
горзыны	перекликаться
горзыны	стрекотать
горӧдны	простонать
грымӧдчыны	грохотать
гуасьны	зарыться
гуджгыны	скрестись
гуджгыны	грызть
гудралыштны	помешать
гудралыштны	помесить
гудралыштны	посбивать
гудыртчыны	помрачиться
гужгыны	скрипеть
гузьгысьны	высыпаться
гуляйтӧдны	катать
гургыны	гудеть
гургыны	грохотать
гурйыны	выскребать
гурӧдчыны	тарахтеть
гусьӧнасьны	скрывать
гутшкыны	стучать
гыавны	колыхаться
гыавны	раздаться
гыдъясьны	впутаться
гыжйыштны	царапнуть
гыжйыштны	почесать
гыжъялыштны	почесать
гыжъялыштны	поцарапать
гыжъясьны	царапаться
гыжъясьны	чесаться
гыжъясьны	медлить
гызмасьны	таскаться
гылавны	пасть
гылӧдны	рассыпать
гылӧдны	раструсить
гылӧдны	сорить
гымӧдны	стучать
гынмыны	получиться
гыны	сновать
гырсявны	крупнеть
гӧгыльтчыны	закатиться
гӧгыльтчыны	свернуться
гӧгӧрвоны	одуматься
гӧгӧрвоны	разгадать
гӧгӧртӧдны	обнести
гӧгӧртӧдны	обвести
гӧдитчыны	пригодиться
гӧльтӧдчыны	прибедняться
гӧлявны	бедствовать
гӧлӧзубитны	зубоскалить
гӧлӧзубитны	пустословить
гӧнитны	бежать
гӧнитӧдны	гнать
гӧнсявны	опериться
гӧрддзысьӧдны	опылить
гӧрдитчыны	гордиться
гӧрдлыны	ржать
гӧрдӧдны	буреть
гӧрдӧдны	воспалиться
гӧрны	избороздить
гӧрыштны	откромсать
гӧститӧдчыны	угощать
гӧтравны	женить
дасмындаавны	удесятерить
двӧитчыны	двоиться
дежуритны	дежурить
дезертиравны	дезертировать
действуйтны	действовать
демилитаризируйтны	демилитаризировать
демобилизуйтны	демобилизовать
демобилизуйтчыны	демобилизоваться
дернитны	дёрнуть
джагыдмыны	перечерстветь
джагӧдавны	перегрызть
дженьдыны	укоротиться
дженьдӧдны	сокращать
дженьдӧдчыны	сокращаться
дживкйӧдлыны	жужжать
дживкнитны	прощебетать
дживкнитны	пиликнуть
джуньгыны	лакать
джынъясьны	убавиться
